,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({"" 'Coldplay'""})","frozenset({"" 'Cold'""})",0.19743178170144463,0.20492241840556447,0.19743178170144463,1.0,4.879895561357703,0.15697358352506513,inf
24,"frozenset({"" 'The Beatles'""})","frozenset({"" 'Calexico'""})",0.2568218298555377,0.2568218298555377,0.2568218298555377,1.0,3.8937500000000003,0.19086437756519092,inf
25,"frozenset({"" 'Calexico'""})","frozenset({"" 'The Beatles'""})",0.2568218298555377,0.2568218298555377,0.2568218298555377,1.0,3.8937500000000003,0.19086437756519092,inf
58,"frozenset({"" 'Black Eyed Peas'""})","frozenset({"" 'Mr. Mister'""})",0.16265382557517388,0.3301230604601391,0.16265382557517388,1.0,3.0291734197730955,0.10895804688074784,inf
1,"frozenset({"" 'Cold'""})","frozenset({"" 'Coldplay'""})",0.20492241840556447,0.19743178170144463,0.19743178170144463,0.9634464751958225,4.879895561357703,0.15697358352506513,21.955973400596218
192,"frozenset({"" 'Katy Perry'"", "" 'Lady Gaga'"", "" 'Rihanna'""})","frozenset({"" 'Britney Spears'""})",0.17495987158908508,0.27875869448903157,0.16746923488496523,0.9571865443425077,3.433745971931184,0.11869764949282327,16.846136207291934
165,"frozenset({"" 'Christina Aguilera'"", "" 'Lady Gaga'"", "" 'Rihanna'""})","frozenset({"" 'Britney Spears'""})",0.16639914392723382,0.27875869448903157,0.15890850722311398,0.954983922829582,3.425844437175602,0.11252329909786582,16.021860429565088
146,"frozenset({"" 'Christina Aguilera'"", "" 'Beyonce'""})","frozenset({"" 'Britney Spears'""})",0.16051364365971107,0.27875869448903157,0.1514178705189941,0.9433333333333332,3.38404990403071,0.10667329676473543,12.727787744311188
151,"frozenset({"" 'Katy Perry'"", "" 'Christina Aguilera'""})","frozenset({"" 'Britney Spears'""})",0.16907437132156233,0.27875869448903157,0.15944355270197966,0.9430379746835442,3.3829903544789715,0.11231260168082718,12.661791807859206
191,"frozenset({"" 'Katy Perry'"", "" 'Britney Spears'"", "" 'Rihanna'""})","frozenset({"" 'Lady Gaga'""})",0.1781701444622793,0.3263777421080792,0.16746923488496523,0.93993993993994,2.8799143405700782,0.10931846542429623,11.215810593900487
132,"frozenset({"" 'Christina Aguilera'"", "" 'Beyonce'""})","frozenset({"" 'Rihanna'""})",0.16051364365971107,0.25896201177100053,0.15034777956126272,0.9366666666666668,3.6170041322314055,0.10878084348245043,11.700599814142114
