,user_id,artist_id,listen_count
0,2,51,13883
1,2,52,11690
2,2,53,11351
3,2,54,10300
4,2,55,8983
5,2,56,6152
6,2,57,5955
7,2,58,4616
8,2,59,4337
10,2,61,3923
11,2,62,3782
12,2,63,3735
13,2,64,3644
14,2,65,3579
15,2,66,3312
16,2,67,3301
17,2,68,2927
18,2,69,2720
19,2,70,2686
20,2,71,2654
21,2,72,2619
22,2,73,2584
24,2,75,2397
25,2,76,2382
26,2,77,2120
28,2,79,1990
29,2,80,1972
30,2,81,1948
31,2,82,1868
33,2,84,1740
34,2,85,1638
35,2,86,1594
36,2,87,1559
37,2,88,1553
38,2,89,1519
39,2,90,1471
40,2,91,1438
42,2,93,1407
43,2,94,1373
44,2,95,1363
45,2,96,1342
46,2,97,1337
47,2,98,1332
48,2,99,1330
49,2,100,1315
50,3,101,13176
51,3,102,662
52,3,103,493
56,3,107,269
75,3,126,94
81,3,132,83
86,3,137,75
95,3,146,67
100,4,51,228
101,4,53,686
102,4,64,420
103,4,65,301
104,4,70,389
105,4,72,4983
106,4,77,396
107,4,151,1807
108,4,152,1208
109,4,153,903
110,4,154,826
111,4,155,777
113,4,157,732
115,4,159,724
117,4,161,632
118,4,162,524
119,4,163,465
121,4,165,446
122,4,166,445
123,4,167,407
126,4,170,366
127,4,171,359
128,4,172,309
129,4,173,292
130,4,174,287
131,4,175,285
132,4,176,284
136,4,180,256
137,4,181,255
138,4,182,254
139,4,183,253
140,4,184,247
141,4,185,240
142,4,186,236
143,4,187,223
144,4,188,221
145,4,189,210
146,4,190,208
147,4,191,202
148,4,192,197
149,4,193,193
150,5,53,181
151,5,154,884
152,5,173,241
153,5,182,222
154,5,190,826
156,5,195,673
157,5,196,620
158,5,197,452
159,5,198,451
160,5,199,374
161,5,200,337
163,5,202,298
164,5,203,287
165,5,204,283
166,5,205,275
167,5,206,265
168,5,207,259
169,5,208,255
170,5,209,252
171,5,210,229
172,5,211,222
173,5,212,210
175,5,214,207
176,5,215,196
177,5,216,192
178,5,217,185
180,5,219,178
181,5,220,170
182,5,221,161
183,5,222,161
184,5,223,149
186,5,225,142
187,5,226,139
188,5,227,138
189,5,228,138
190,5,229,138
191,5,230,137
192,5,231,134
194,5,233,130
195,5,234,129
196,5,235,129
197,5,236,127
198,5,237,118
199,5,238,115
200,6,77,16
201,6,239,41
203,6,241,40
207,6,245,31
208,6,246,31
210,6,248,26
211,6,249,24
212,6,250,24
213,6,251,24
214,6,252,24
215,6,253,23
218,6,256,19
219,6,257,18
220,6,258,18
222,6,260,18
223,6,261,18
224,6,262,17
227,6,265,17
228,6,266,16
229,6,267,16
230,6,268,16
232,6,270,16
233,6,271,15
234,6,272,15
237,6,275,14
238,6,276,14
240,6,278,14
241,6,279,14
245,6,283,14
247,6,285,13
249,6,287,13
250,7,55,3151
251,7,67,2540
252,7,89,5846
253,7,257,5188
254,7,288,43864
255,7,289,11112
256,7,290,6266
257,7,291,5379
258,7,292,4201
259,7,293,4059
260,7,294,3251
261,7,295,2852
262,7,296,2356
263,7,297,1848
264,7,298,1802
265,7,299,1780
