,user_id,artist_id,tag_id
0,2,52,13
1,2,52,15
2,2,52,18
3,2,52,21
5,2,63,13
6,2,63,14
7,2,63,23
9,2,73,13
10,2,73,14
11,2,73,15
12,2,73,18
13,2,73,20
14,2,73,21
15,2,73,22
16,2,73,26
17,2,94,13
18,2,94,15
19,2,94,20
20,2,94,21
21,2,94,22
23,2,94,37
24,2,94,39
25,2,96,19
26,2,96,24
27,2,995,16
28,2,995,17
29,2,995,24
30,2,995,25
31,2,995,42
36,2,6160,14
37,2,6160,34
38,2,6177,13
39,2,6177,14
40,2,6177,15
41,2,6177,20
43,2,9322,18
45,3,101,14
46,3,101,15
47,3,101,33
48,3,101,44
50,3,101,46
51,3,101,47
53,3,101,49
60,3,101,56
67,3,101,71
68,3,102,14
69,3,102,15
70,3,102,18
71,3,102,33
72,3,102,44
74,3,102,46
75,3,102,69
100,3,137,44
101,4,51,16
102,4,51,25
103,4,53,18
104,4,64,13
105,4,64,18
106,4,70,18
107,4,72,18
108,4,80,18
109,4,99,73
110,4,151,14
111,4,152,75
112,4,153,74
113,4,154,79
115,4,157,24
117,4,163,75
119,4,165,18
120,4,167,80
121,4,170,78
122,4,171,73
123,4,173,78
124,4,174,88
125,4,175,14
126,4,180,24
127,4,180,72
128,4,181,82
129,4,183,85
130,4,184,24
131,4,185,73
132,4,188,76
133,4,192,24
134,4,193,25
135,4,217,84
136,4,463,24
137,4,467,24
138,4,632,87
139,4,706,72
140,4,726,89
141,4,918,1
142,4,918,91
143,4,920,76
144,4,1009,90
145,4,1248,73
146,4,1295,86
147,4,1385,84
148,4,1713,18
149,4,1745,18
150,4,1810,72
151,4,1824,15
152,4,1870,92
153,4,1873,78
154,4,1917,7
155,4,2370,76
157,4,3416,76
158,4,3863,90
159,4,3988,74
162,5,53,95
164,5,182,95
166,5,190,95
167,5,195,95
168,5,197,95
169,5,200,98
170,5,202,95
171,5,215,95
177,5,447,98
184,5,951,95
185,5,1123,95
186,5,1239,95
195,5,3691,98
197,5,4079,95
201,5,10610,95
214,6,712,121
215,6,2911,102
216,6,2911,103
217,6,2911,122
218,6,2911,123
219,7,55,127
220,7,288,127
221,7,288,128
222,8,291,24
223,8,291,130
236,8,348,30
237,8,348,73
242,9,8,73
244,9,8,139
245,9,8,141
246,9,209,73
247,9,221,137
248,9,229,73
249,9,258,137
251,9,371,137
259,9,374,137
260,9,375,140
261,9,376,137
262,9,377,73
263,9,377,137
264,9,379,137
265,9,379,140
269,9,390,139
282,9,403,73
283,9,405,137
293,9,481,137
294,9,486,137
295,9,488,137
297,9,493,73
298,9,493,79
299,9,493,137
303,9,518,137
304,9,701,137
306,9,955,89
307,9,966,137
308,9,1126,137
310,9,1194,73
311,9,1375,137
312,9,1378,79
314,9,1519,73
315,9,1602,137
316,9,1795,137
317,9,1814,137
318,9,1874,73
319,9,1901,137
322,9,1922,137
323,9,1922,140
329,9,2102,140
331,9,2457,137
333,9,2546,137
334,9,2941,73
335,9,3302,137
337,9,3427,79
340,9,3563,137
343,9,3946,137
344,9,4179,137
349,9,4980,137
361,9,6730,73
366,9,11049,73
371,10,196,81
373,10,199,81
375,10,208,81
376,10,211,79
377,10,211,81
378,10,217,78
379,10,217,79
380,10,217,81
382,10,416,79
383,10,416,81
386,10,428,79
387,10,430,81
389,10,431,79
391,10,1377,79
392,10,1377,81
393,10,3258,79
394,10,3258,81
395,11,89,24
397,11,234,170
398,11,257,167
399,11,326,167
401,11,456,24
402,11,456,167
403,11,458,167
404,11,468,167
405,11,469,109
407,11,482,167
408,11,540,73
409,11,540,169
410,11,1450,167
411,11,1580,24
412,11,2179,102
413,11,3576,24
417,12,16,61
418,12,16,179
419,12,16,190
421,12,18,18
422,12,18,61
423,12,18,179
424,12,36,6
425,12,36,18
426,12,36,30
427,12,36,61
428,12,36,189
429,12,45,18
430,12,45,61
431,12,45,79
432,12,45,181
433,12,56,18
434,12,56,39
435,12,56,187
436,12,58,18
437,12,58,39
438,12,58,187
439,12,67,24
440,12,67,39
441,12,71,24
442,12,71,79
443,12,71,134
444,12,72,18
445,12,88,18
446,12,88,73
447,12,88,79
448,12,88,81
449,12,88,102
450,12,89,18
451,12,89,24
452,12,89,39
453,12,154,18
454,12,154,73
455,12,154,78
456,12,154,79
457,12,154,81
458,12,159,73
459,12,159,79
460,12,159,179
461,12,159,190
462,12,173,73
463,12,173,78
464,12,173,79
465,12,173,81
466,12,181,1
467,12,181,5
468,12,181,7
469,12,181,82
470,12,189,78
471,12,189,79
472,12,190,73
473,12,190,78
474,12,190,79
475,12,190,81
476,12,191,73
477,12,191,78
478,12,191,79
479,12,191,109
480,12,198,1
481,12,198,2
482,12,198,73
483,12,209,73
484,12,209,79
485,12,209,176
486,12,209,182
487,12,217,73
488,12,217,79
489,12,217,81
490,12,217,84
491,12,227,24
492,12,227,73
493,12,227,192
494,12,227,195
495,12,229,73
496,12,229,78
497,12,229,79
498,12,229,81
499,12,229,84
500,12,230,169
501,12,230,181
502,12,230,182
503,12,233,18
504,12,233,61
505,12,233,73
506,12,233,189
507,12,234,78
508,12,234,79
509,12,234,170
510,12,237,18
511,12,237,79
512,12,238,18
513,12,238,187
514,12,278,102
515,12,278,103
516,12,278,197
517,12,288,24
518,12,288,39
519,12,288,167
520,12,289,24
521,12,289,39
522,12,299,24
523,12,299,39
524,12,299,167
525,12,300,24
526,12,300,109
527,12,302,24
528,12,302,73
529,12,302,109
530,12,306,24
531,12,306,102
532,12,306,103
533,12,306,167
534,12,318,24
535,12,318,39
536,12,318,73
537,12,320,24
538,12,320,39
539,12,320,167
540,12,325,24
541,12,325,39
542,12,327,102
543,12,327,103
544,12,327,167
545,12,331,102
546,12,331,103
547,12,331,167
548,12,333,24
549,12,333,73
550,12,333,109
551,12,344,24
552,12,344,134
553,12,344,185
554,12,344,193
555,12,349,24
556,12,349,39
557,12,349,167
558,12,371,73
559,12,371,78
560,12,371,79
561,12,371,183
562,12,377,78
563,12,377,79
564,12,377,177
565,12,378,79
566,12,378,190
567,12,403,73
568,12,403,79
569,12,403,169
570,12,405,78
571,12,405,79
572,12,407,184
573,12,412,169
574,12,412,181
575,12,412,182
576,12,423,79
577,12,423,81
578,12,423,134
579,12,436,73
580,12,436,78
581,12,436,79
582,12,436,170
583,12,458,24
584,12,458,167
585,12,464,18
586,12,464,102
587,12,464,187
588,12,466,18
589,12,466,24
590,12,466,39
591,12,468,24
592,12,468,102
593,12,468,103
594,12,468,167
595,12,474,24
596,12,474,167
597,12,475,102
598,12,475,103
599,12,484,102
600,12,484,167
601,12,486,78
602,12,486,79
603,12,486,81
604,12,486,176
605,12,487,61
606,12,487,179
607,12,488,78
608,12,488,79
609,12,489,79
610,12,489,177
611,12,489,198
612,12,490,72
613,12,490,78
614,12,490,79
615,12,490,170
616,12,491,102
617,12,491,103
618,12,492,176
619,12,492,178
620,12,492,180
621,12,492,186
622,12,493,78
623,12,493,79
624,12,493,176
625,12,494,79
626,12,494,176
627,12,494,178
631,12,496,72
632,12,496,78
633,12,496,79
634,12,497,78
635,12,497,79
636,12,497,177
637,12,498,79
638,12,498,169
639,12,499,78
640,12,499,79
641,12,500,1
642,12,500,176
643,12,500,186
644,12,501,78
645,12,501,79
646,12,502,24
647,12,502,30
648,12,503,1
649,12,503,5
650,12,504,73
655,12,506,82
656,12,507,176
657,12,507,178
658,12,507,186
661,12,509,6
662,12,509,18
663,12,509,61
664,12,509,189
665,12,510,73
666,12,510,78
667,12,510,79
668,12,510,177
669,12,510,198
670,12,511,24
671,12,511,73
672,12,511,192
673,12,512,1
674,12,512,78
675,12,512,79
676,12,512,177
679,12,514,1
680,12,514,177
681,12,515,18
682,12,515,179
683,12,515,190
687,12,517,1
688,12,517,73
689,12,517,79
690,12,517,177
691,12,518,7
692,12,518,89
693,12,518,179
694,12,519,1
695,12,519,6
696,12,519,61
697,12,519,177
698,12,520,18
699,12,520,39
700,12,520,187
706,12,522,7
707,12,522,30
708,12,522,89
709,12,522,179
710,12,523,24
711,12,523,39
712,12,523,109
713,12,536,73
714,12,536,169
715,12,536,181
716,12,536,182
717,12,537,73
718,12,537,176
719,12,537,178
720,12,538,24
721,12,538,73
722,12,538,78
723,12,538,79
724,12,538,109
725,12,544,24
726,12,544,73
727,12,547,102
728,12,547,103
729,12,691,18
730,12,691,81
731,12,691,187
732,12,701,24
733,12,701,73
734,12,704,73
735,12,704,79
736,12,704,84
737,12,707,1
738,12,707,72
739,12,707,73
740,12,726,1
741,12,726,89
742,12,726,191
744,12,785,1
745,12,785,5
746,12,785,6
747,12,785,61
748,12,808,73
749,12,808,181
750,12,808,182
751,12,808,194
752,12,815,1
753,12,815,73
754,12,855,73
755,12,855,78
756,12,855,79
757,12,855,170
761,12,883,1
762,12,883,5
763,12,883,7
764,12,883,82
765,12,930,1
766,12,930,7
767,12,930,89
768,12,951,72
769,12,951,73
770,12,951,192
771,12,955,1
772,12,955,7
773,12,955,89
774,12,966,72
775,12,966,78
776,12,966,79
777,12,967,24
778,12,967,73
779,12,967,79
780,12,972,18
781,12,972,24
782,12,972,39
783,12,978,1
784,12,978,72
785,12,978,73
786,12,978,177
787,12,991,18
788,12,991,24
789,12,991,73
790,12,991,79
791,12,991,81
792,12,1034,24
793,12,1034,73
794,12,1034,79
795,12,1042,24
796,12,1042,167
797,12,1044,1
798,12,1044,73
799,12,1044,177
800,12,1055,73
801,12,1055,78
802,12,1055,79
803,12,1055,188
804,12,1055,196
805,12,1098,18
806,12,1098,79
807,12,1104,1
808,12,1104,6
809,12,1104,73
810,12,1118,1
811,12,1118,73
812,12,1118,78
813,12,1118,79
814,12,1132,73
815,12,1132,191
816,12,1145,1
817,12,1145,72
818,12,1145,73
819,12,1145,177
820,12,1151,73
821,12,1151,79
822,12,1151,81
823,12,1151,84
824,12,1151,195
825,12,1179,78
826,12,1179,79
827,12,1179,181
828,12,1179,182
829,12,1181,176
830,12,1181,178
831,12,1181,180
832,12,1181,186
833,12,1182,79
834,12,1182,176
835,12,1182,178
836,12,1185,176
837,12,1185,178
838,12,1185,180
839,12,1185,186
840,12,1185,194
841,12,1194,73
842,12,1194,176
843,12,1194,178
844,12,1197,73
845,12,1197,176
846,12,1197,178
847,12,1200,78
848,12,1200,79
849,12,1200,176
850,12,1200,178
851,12,1200,180
852,12,1270,61
853,12,1274,1
854,12,1274,5
855,12,1375,73
856,12,1375,79
857,12,1375,81
858,12,1375,84
859,12,1377,73
860,12,1377,78
861,12,1377,79
862,12,1377,81
863,12,1406,73
864,12,1406,78
865,12,1406,181
866,12,1406,182
867,12,1444,24
868,12,1444,102
869,12,1444,167
870,12,1455,102
871,12,1455,103
872,12,1475,24
873,12,1475,39
874,12,1510,73
875,12,1510,78
876,12,1510,79
877,12,1510,81
878,12,1510,84
880,12,1609,18
881,12,1609,24
882,12,1613,102
883,12,1613,103
884,12,1670,73
885,12,1670,176
886,12,1670,178
887,12,1670,180
888,12,1673,30
889,12,1673,73
890,12,1673,79
891,12,1673,109
894,12,1714,6
895,12,1714,30
896,12,1714,61
897,12,1714,73
898,12,1795,24
899,12,1795,73
900,12,1795,134
901,12,1795,192
902,12,1797,30
903,12,1797,73
904,12,1797,78
905,12,1797,79
906,12,1852,72
907,12,1852,73
908,12,1852,78
909,12,1852,183
910,12,1854,72
911,12,1854,78
912,12,1854,79
913,12,1859,73
914,12,1859,78
915,12,1859,79
916,12,1859,183
917,12,1860,79
918,12,1860,102
919,12,1860,103
920,12,1863,103
921,12,1863,194
922,12,1863,198
923,12,1979,79
924,12,1979,102
925,12,1979,103
926,12,1979,198
927,12,2014,1
928,12,2014,7
929,12,2014,179
930,12,2018,18
931,12,2018,24
932,12,2018,39
933,12,2075,14
934,12,2121,73
935,12,2121,78
936,12,2121,79
937,12,2121,81
938,12,2121,84
939,12,2150,73
940,12,2150,78
941,12,2150,180
942,12,2179,102
943,12,2179,103
944,12,2179,197
945,12,2370,1
946,12,2370,5
947,12,2370,82
948,12,2380,1
949,12,2380,72
950,12,2380,73
951,12,2380,79
952,12,2380,177
953,12,2436,73
954,12,2436,134
955,12,2436,193
956,12,2439,24
957,12,2439,193
958,12,2449,193
959,12,2500,18
960,12,2500,39
961,12,2500,90
962,12,2643,73
963,12,2643,176
964,12,2643,178
965,12,2643,180
966,12,2738,73
967,12,2738,78
968,12,2738,79
969,12,2738,181
970,12,2745,14
971,12,2745,18
972,12,2745,39
973,12,2745,90
974,12,2839,73
975,12,2839,81
976,12,2839,109
977,12,2850,176
978,12,2850,178
979,12,2850,180
980,12,2850,194
981,12,2923,102
982,12,2923,103
983,12,2927,102
984,12,2927,103
985,12,2940,1
986,12,2941,72
987,12,2941,73
988,12,2941,78
989,12,2941,79
990,12,2956,73
991,12,2956,78
992,12,2956,177
1008,12,3238,73
1009,12,3238,78
1010,12,3238,79
1011,12,3238,188
1012,12,3238,196
1013,12,3240,1
1014,12,3240,2
1015,12,3240,72
1016,12,3240,177
1017,12,3317,102
1018,12,3317,103
1019,12,3317,167
1020,12,3404,18
1021,12,3404,24
1022,12,3468,81
1023,12,3468,84
1025,12,3616,73
1026,12,3616,81
1027,12,3616,84
1028,12,3667,102
1029,12,3667,103
1030,12,3667,167
1031,12,3859,72
1032,12,3859,73
1033,12,3859,78
1034,12,3859,79
1035,12,3928,72
1036,12,3928,73
1037,12,3928,78
1038,12,3928,79
1039,12,3931,24
1040,12,3931,73
1041,12,3931,109
1042,12,4036,18
1043,12,4036,39
1044,12,4036,90
1045,12,4074,73
1046,12,4074,79
1047,12,4074,81
1048,12,4074,84
1053,12,4135,7
1054,12,4135,89
1055,12,4135,179
1056,12,4255,78
1057,12,4255,79
1058,12,4255,81
1059,12,4262,79
1060,12,4262,176
1062,12,4297,24
1066,12,4562,24
1067,12,4562,167
1072,12,4572,72
1073,12,4572,73
1074,12,4572,188
1075,12,4572,196
1080,12,4923,184
1081,12,4923,191
1082,12,5079,61
1083,12,5079,79
1084,12,5079,179
1085,12,5217,73
1086,12,5217,78
1087,12,5217,79
1088,12,5478,18
1089,12,5478,79
1090,12,5746,134
1091,12,5746,185
1092,12,5746,195
1093,12,6006,73
1094,12,6006,78
1095,12,6006,79
1096,12,6006,81
1097,12,6006,185
1098,12,6191,79
1099,12,6191,176
1100,12,6191,178
1109,12,6621,102
1110,12,6621,103
1111,12,6621,197
1112,12,6762,14
1113,12,6762,18
1114,12,6772,176
1115,12,6772,178
1116,12,6772,180
1117,12,6772,186
1120,12,7276,81
1121,12,7276,134
1122,12,7276,185
1123,12,7639,1
1124,12,7639,2
1125,12,7639,73
1126,12,7639,177
1134,12,8047,73
1135,12,8047,79
1136,12,8047,183
1137,12,8350,1
1138,12,8350,78
1139,12,8350,79
1140,12,8350,177
1141,12,8356,18
1142,12,8356,39
1143,12,9160,24
1144,12,9160,102
1145,12,9160,195
1146,12,9262,73
1147,12,9262,78
1148,12,9262,79
1152,12,10737,72
1153,12,10737,73
1154,12,10737,183
1155,12,10737,194
1177,12,12918,73
1178,12,12918,79
1179,12,12918,81
1180,12,12918,195
1181,12,13147,79
1182,12,13147,81
1183,12,13147,134
1184,12,13214,2
1185,12,13214,72
1186,12,13214,73
1187,12,13214,78
1200,12,18515,73
1201,12,18515,79
1202,12,18515,81
1205,13,55,18
1206,13,55,24
1207,13,55,39
1208,13,55,124
1209,13,55,130
1210,13,55,200
1211,13,55,201
1212,13,55,202
1213,13,55,203
1216,13,55,208
1217,13,67,18
1218,13,67,24
1219,13,67,39
1220,13,67,124
1221,13,67,130
1222,13,67,199
1223,13,67,200
1224,13,67,201
1225,13,67,202
1226,13,67,203
1229,13,67,209
1230,13,89,18
1231,13,89,24
1232,13,89,39
1233,13,89,49
1234,13,89,124
1235,13,89,130
1236,13,89,134
1237,13,89,167
1238,13,89,199
1239,13,89,200
1240,13,89,201
1241,13,89,202
1242,13,89,203
1245,13,89,206
1246,13,89,207
1247,13,89,208
1248,13,89,209
1249,13,89,213
1252,13,89,228
1253,13,89,229
1254,13,89,230
1255,13,89,231
1256,13,89,232
1257,13,89,233
1258,13,89,234
1260,13,293,24
1261,13,293,130
1262,13,293,200
1263,13,293,201
1264,13,298,24
1265,13,298,130
1266,13,298,199
1267,13,298,206
1268,13,298,210
1269,13,333,24
1270,13,333,130
1271,13,333,200
1272,13,333,201
1273,13,1580,167
1278,13,1580,226
1279,13,1580,227
1280,13,3397,167
1281,13,3397,216
1289,14,59,16
1290,14,59,25
1292,14,98,16
1293,14,98,25
1295,14,98,275
1296,14,99,16
1297,14,99,25
1298,14,193,16
1299,14,193,25
1300,14,193,109
1301,14,429,25
1302,14,429,242
1303,14,441,16
1304,14,441,25
1305,14,441,275
1306,14,549,245
1307,14,549,247
1336,14,559,75
1337,14,559,245
1339,14,559,249
1340,14,559,253
1341,14,559,259
1342,14,563,247
1343,14,563,252
1345,14,573,75
1346,14,573,182
1347,14,573,242
1348,14,573,245
1350,14,573,249
1352,14,594,88
1353,14,594,245
1354,14,594,247
1356,14,594,252
1358,14,612,16
1359,14,612,24
1360,14,612,25
1361,14,612,109
1362,14,612,242
1363,14,852,16
1364,14,852,25
