,user_id,tag1,tag2,tag3,tag4,tag5,artist_id
0,2,18,13,14,24,39,51
2414,2,18,13,21,14,15,80
2428,2,18,13,21,14,15,81
2535,2,18,24,26,79,25,82
111,2,18,13,21,15,24,52
2544,2,24,26,25,1354,395,83
2545,2,18,13,39,26,81,84
2586,2,24,39,26,25,195,85
2607,2,13,24,39,81,130,86
2625,2,24,25,527,1680,7797,87
2626,2,18,13,21,24,39,88
2750,2,18,24,39,19,73,89
3361,2,18,13,21,15,39,90
3367,2,18,24,39,26,73,91
3378,2,25,16,17,0,0,92
3379,2,18,13,14,24,23,93
3395,2,13,21,15,39,20,94
3397,2,24,39,73,79,25,95
3410,2,24,19,73,130,25,96
3452,2,13,24,81,130,195,97
3532,2,18,39,19,25,16,98
3554,2,24,39,73,79,81,99
2413,2,24,25,16,74,395,79
3603,2,24,26,25,195,16,100
2411,2,79,25,16,0,0,78
2353,2,18,39,79,352,16,76
525,2,18,13,24,39,26,56
676,2,18,13,21,14,15,57
695,2,18,13,21,14,15,58
777,2,18,24,39,19,73,59
884,2,6253,0,0,0,0,60
886,2,18,24,39,25,195,61
911,2,24,79,25,16,389,62
914,2,18,13,14,23,40,63
955,2,18,13,21,14,15,64
134,2,18,13,21,14,15,53
1026,2,18,13,14,24,26,65
1395,2,18,13,21,14,24,66
1414,2,18,13,24,39,19,67
1843,2,18,13,24,39,73,68
1860,2,13,24,20,79,130,69
1889,2,18,13,21,14,15,70
1974,2,18,13,21,14,15,71
2031,2,18,13,21,14,24,72
2313,2,18,13,21,14,15,73
2320,2,130,188,0,0,0,74
2321,2,18,14,79,25,352,75
2368,2,13,24,39,26,19,77
227,2,18,13,24,39,19,55
209,2,18,13,21,14,15,54
3727,3,14,18,0,0,0,143
3678,3,14,0,0,0,0,116
3677,3,0,0,0,0,0,115
3676,3,11547,0,0,0,0,114
3672,3,526,7995,0,0,0,113
3671,3,0,0,0,0,0,112
3670,3,0,0,0,0,0,111
3669,3,0,0,0,0,0,110
3668,3,0,0,0,0,0,109
3667,3,33,15,47,49,46,108
3643,3,33,14,47,18,34,107
3679,3,0,0,0,0,0,117
3642,3,33,14,44,34,52,106
3640,3,33,14,187,59,11547,104
3628,3,33,14,191,526,545,103
3627,3,33,14,15,18,46,102
3622,3,33,14,15,47,49,101
3730,3,15,18,13,20,2525,146
3731,3,0,0,0,0,0,147
3732,3,14,87,821,0,0,148
3734,3,0,0,0,0,0,149
3735,3,0,0,0,0,0,150
3728,3,0,0,0,0,0,144
3641,3,0,0,0,0,0,105
3680,3,0,0,0,0,0,118
3682,3,47,0,0,0,0,120
3729,3,0,0,0,0,0,145
3681,3,0,0,0,0,0,119
3723,3,33,14,187,59,7255,141
3722,3,18,0,0,0,0,140
3721,3,0,0,0,0,0,139
3716,3,33,14,191,526,545,138
3711,3,14,47,18,44,187,137
3710,3,0,0,0,0,0,136
3709,3,0,0,0,0,0,135
3708,3,33,14,34,70,0,134
3707,3,0,0,0,0,0,133
3705,3,14,47,34,526,26,132
3726,3,14,47,0,0,0,142
3703,3,33,14,44,66,0,130
3702,3,0,0,0,0,0,129
3701,3,14,53,0,0,0,128
3700,3,0,0,0,0,0,127
3692,3,14,15,47,18,69,126
3691,3,0,0,0,0,0,125
3690,3,0,0,0,0,0,124
3689,3,0,0,0,0,0,123
3688,3,33,15,46,0,0,122
3685,3,15,47,187,6256,2385,121
3704,3,0,0,0,0,0,131
1027,4,18,79,24,73,14,65
5773,4,18,88,187,309,824,174
5799,4,18,79,14,13,39,175
5895,4,79,73,78,72,210,179
5888,4,0,0,0,0,0,177
5889,4,79,73,78,130,134,178
1890,4,18,79,24,73,14,70
5812,4,73,25,72,192,1,176
5531,4,18,79,24,73,78,173
5378,4,0,0,0,0,0,169
956,4,18,14,74,13,81,64
5414,4,79,73,78,81,195,171
5379,4,79,73,78,81,84,170
5377,4,0,0,0,0,0,168
5330,4,18,79,24,73,85,167
5260,4,79,24,73,78,16,166
5255,4,18,24,14,85,39,165
4947,4,79,73,14,78,13,162
5254,4,93,0,0,0,0,164
5897,4,24,73,25,72,130,180
5448,4,18,79,24,73,78,172
2032,4,18,79,24,73,14,72
6813,4,79,24,73,78,13,191
5971,4,79,24,73,78,13,182
3745,4,79,73,14,78,75,152
3816,4,18,79,25,74,39,153
3849,4,18,79,24,73,14,154
4242,4,79,24,73,25,13,155
4319,4,18,79,73,78,81,156
4329,4,79,24,73,25,13,157
4595,4,93,347,503,2334,3911,158
4596,4,18,79,24,73,78,159
4825,4,299,0,0,0,0,160
4826,4,18,24,73,39,352,161
6933,4,18,79,24,73,78,193
6895,4,24,73,25,80,39,192
6413,4,18,79,24,73,78,190
6392,4,79,73,78,81,185,189
6324,4,79,76,82,1,352,188
6227,4,18,79,24,73,25,187
6202,4,79,73,78,195,134,186
2369,4,24,73,25,13,16,77
6194,4,73,78,127,109,170,185
6133,4,79,24,73,13,81,184
6100,4,18,24,13,85,39,183
5946,4,82,1,127,850,5,181
3736,4,18,14,13,187,234,151
4996,4,18,79,73,14,78,163
135,4,18,79,14,25,13,53
1,4,18,79,24,73,14,51
3850,5,94,73,24,79,18,154
8644,5,73,24,79,81,25,220
8866,5,73,24,79,81,78,221
8935,5,94,73,79,81,78,222
8994,5,73,24,79,81,78,223
9036,5,0,0,0,0,0,224
9038,5,73,79,81,25,78,225
9163,5,73,79,81,78,195,226
9278,5,73,24,79,81,25,227
9758,5,73,79,81,39,78,228
