
ID,Artista,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
0,Diary of Dreams,darkwave,german,gothic,seen live,ambient,dark,electronic,gothic rock,industrial,true goth emo
1,Moonspell,gothic metal,black metal,doom metal,awesome,bazarov,best song ever,dark,dark metal,for work,fucking awesome
2,Marilyn Manson,metal,industrial,rock,industrial metal,alternative,cover,american,industrial rock,alternative metal,marilyn manson
3,DIR EN GREY,j-rock,metal,visual kei,japanese,jrock,dark,favorites,hall,hard rock - metal,rock
4,Combichrist,industrial,ebm,dark electro,seen live,industrial dance,ultimate favorite,terrorbanana,techno,tbm,remix
5,Behemoth,death metal,black metal,blackened death metal,brutal death metal,black metal cabeza,death-black metal,extreme metal,pldm,polish,polish death metal
6,Dimmu Borgir,black metal,symphonic black metal,melodic black metal,death metal,atmospheric black metal,nordic metal,symphonic metal,symphonic,prejebeno,norwegian metal
7,London After Midnight,gothic,gothic rock,industrial,darkwave,goth,covers,dark wave,electronic,heavy,sexy songs
8,The Crüxshadows,darkwave,gothic,industrial,electronic,covers,ebm,goth,dark wave,electro pop,electronica
9,:wumpscut:,industrial,ebm,dark electro,electronic,darkwave,electro-industrial,favorite,german,ogonj,ohm sweet ohm
10,Cradle of Filth,black metal,gothic metal,metal,symphonic black metal,death metal,cover,black gay,gothic,great intro,melodic black metal
11,Tamtrum,dark electro,french,electronic,favourites,friends,harsh ebm,industrial,melancholy,sad,seen live
12,Laibach,industrial,ebm,electronic,avant-garde,cover,covers,electro,experimental,favorites,german
13,Gorgoroth,black metal,metal,norwegian black metal,true norwegian black metal,black metal cabeza,killer drums,satanic metal,seen live,true black metal,very kvlt
14,And One,synthpop,ebm,electronic,industrial,futurepop,german,synth pop,new wave,psychedelic,ogonj
15,Covenant,ebm,electronic,futurepop,synthpop,industrial,seen live,darkwave,electronica,synth pop,swedish
16,KMFDM,industrial,industrial metal,industrial rock,electronic,german,ebm,electronica,addictive,awesome,interesting
17,Dawn of Ashes,dark electro,black metal,harsh ebm,industrial,terror ebm,dawn of ashes -angels,deathcore,ebm,post-industrial,terrorbanana
18,The Faint,indie,dance,electronic,indie rock,the faint,songs to download later,smash it up,seen live,other great tracks,must see live before dying
19,Mindless Self Indulgence,punk,industrial,electronic,industrial jungle pussy punk,alternative,seen live,mindless self indulgence,the fucking best,synthpunk,rock
20,Pyotr Ilyich Tchaikovsky,classical,romantic,instrumental,ballet,christmas blend,gossip girl,inspiration,tchaikovsky,the best classical opera and film scores,top100
21,Emperor,black metal,true norwegian black metal,avant-garde,masterpiece,sophisticated black metal art,raw black metal,play this loud enough to raise the dead,norwegian black metal,norwegian,norway
22,Duran Duran,80s,new wave,pop,new romantic,duran duran,synthpop,rock,british,90s,electronic
23,Morcheeba,trip-hop,chillout,downtempo,electronic,female vocalists,seen live,lounge,alsolike,my fav songs,transport
24,Air,electronic,ambient,chillout,trip-hop,french,electronica,downtempo,alternative,instrumental,indie
25,Hooverphonic,trip-hop,chillout,electronic,female vocalists,downtempo,alternative,indie,trip hop,pop,sexy
26,Kylie Minogue,dance,pop,electronic,female vocalists,90s,australian,80s,disco,sexy,seen live
27,Daft Punk,electronic,dance,electronica,house,techno,electro,french,alternative,chillout,remix
28,Thievery Corporation,trip-hop,chillout,downtempo,lounge,electronic,chill,aana,just chillin,trip hop,special
29,Goldfrapp,electronic,female vocalists,trip-hop,dance,electronica,alternative,british,experimental,indie,uk
30,New Order,new wave,80s,electronic,post-punk,alternative,british,dance,rock,indie,electronica
31,Talk Talk,80s,new wave,pop,synthpop,synth pop,1982 songs,my favorites,new romantic,new wave and eighties,new wave artists
32,Prefab Sprout,80s,1985 songs,alternative,blue eyed soul,british artists,britpop,college rock,new wave,new wave artists,pop
33,Enigma,ambient,new age,electronic,chillout,relax,sex,electronica,macumba music,meditative,nostalgia
34,Röyksopp,electronic,chillout,electronica,ambient,norwegian,trip-hop,downtempo,electro,dance,brilliant
35,Coldplay,alternative,alternative rock,rock,britpop,british,indie,indie rock,coldplay,seen live,beautiful
