,Artista,rock,pop,alternative,eletronic,indie,female vocalist,80s,dance,alternative rock,classic rock
0,MALICE MIZER,0,0,0,0,0,0,0,0,0,0
1,Diary of Dreams,0,0,0,1,0,0,0,0,0,0
2,Carpathian Forest,0,0,0,0,0,0,0,0,0,0
3,Moi dix Mois,1,0,0,0,0,0,0,0,0,0
4,Bella Morte,0,0,0,0,0,0,0,0,0,0
5,Moonspell,0,0,0,0,0,0,0,0,0,0
6,Marilyn Manson,1,0,1,0,0,0,0,0,1,0
7,DIR EN GREY,1,0,0,0,0,0,0,0,0,0
8,Combichrist,0,0,0,1,0,0,0,0,0,0
9,Grendel,0,0,0,1,0,0,0,0,0,0
10,Agonoize,0,0,0,1,0,0,0,0,0,0
11,Behemoth,0,0,0,0,0,0,0,0,0,0
12,Hocico,0,0,0,1,0,0,0,0,0,0
13,Dimmu Borgir,0,0,0,0,0,0,0,0,0,0
14,London After Midnight,0,0,0,1,0,0,0,0,0,0
15,Psyclon Nine,0,0,0,0,0,0,0,0,0,0
16,The Crüxshadows,0,0,0,1,0,0,0,0,0,0
17,:wumpscut:,0,0,0,1,0,0,0,0,0,0
18,Limbonic Art,0,0,0,0,0,0,0,0,0,0
19,Artista sconosciuto,0,0,0,0,0,0,0,0,0,0
20,xotox,0,0,0,0,0,0,0,0,0,0
21,The Kovenant,0,0,0,1,0,0,0,0,0,0
22,Feindflug,0,0,0,0,0,0,0,0,0,0
23,Cradle of Filth,0,0,0,0,0,0,0,0,0,0
24,Tamtrum,0,0,0,1,0,0,0,0,0,0
25,Laibach,0,0,0,1,0,0,0,0,0,0
26,Gorgoroth,0,0,0,0,0,0,0,0,0,0
27,And One,0,0,1,1,0,0,1,1,0,0
28,Amduscia,0,0,0,0,0,0,0,0,0,0
29,Covenant,0,0,0,1,0,0,1,0,0,0
30,Icon of Coil,0,0,0,1,0,0,0,0,0,0
31,KMFDM,0,0,0,1,0,0,0,0,0,0
32,Funker Vogt,0,0,0,0,0,0,0,0,0,0
33,Dawn of Ashes,0,0,0,0,0,0,0,0,0,0
34,Sopor Aeternus & The Ensemble of Shadows,0,0,0,1,0,0,0,0,0,0
35,The Faint,0,0,1,1,1,0,0,1,0,0
36,God Module,0,0,0,0,0,0,0,0,0,0
37,Noisuf-X,0,0,0,1,0,0,0,0,0,0
38,Das Ich,0,0,0,0,0,0,0,0,0,0
39,Mindless Self Indulgence,1,0,1,1,0,0,0,0,0,0
40,Pyotr Ilyich Tchaikovsky,0,0,0,0,0,0,0,0,0,0
41,Emperor,0,0,0,0,0,0,0,0,0,0
42,Anorexia Nervosa,0,0,0,0,0,0,0,0,0,0
43,Reaper,0,0,0,1,0,0,0,0,0,0
44,Gothminister,0,0,0,0,0,0,0,0,0,0
45,Duran Duran,1,1,1,1,1,0,1,1,1,1
46,Morcheeba,0,1,0,1,0,1,0,1,0,0
47,Air,0,0,1,1,1,0,1,1,0,1
48,Hooverphonic,1,1,1,1,1,1,0,0,0,0
49,Kylie Minogue,1,1,1,1,1,1,1,1,0,0
50,Daft Punk,0,1,1,1,0,0,1,1,0,0
51,Thievery Corporation,0,0,0,1,0,0,0,0,0,0
52,Goldfrapp,0,1,1,1,1,1,0,1,0,0
53,New Order,1,1,1,1,1,0,1,1,1,0
54,Matt Bianco,0,0,0,0,0,0,0,0,0,0
55,Talk Talk,0,1,0,1,0,0,1,1,0,0
56,Prefab Sprout,0,1,1,0,0,0,1,0,0,0
57,Enigma,0,0,1,1,0,0,0,0,0,0
58,Röyksopp,0,0,0,1,1,1,0,1,0,0
59,Coldplay,1,1,1,1,1,0,0,0,1,1
60,Faithless,0,1,1,1,0,1,0,1,0,0
61,Madonna,1,1,1,1,1,1,1,1,0,1
62,Icehouse,1,1,0,1,0,0,1,1,0,0
63,Sade,0,1,1,0,0,1,1,0,0,0
64,Moby,1,1,1,1,1,1,1,1,1,0
65,Dido,1,1,1,1,1,1,0,0,0,0
66,Depeche Mode,1,1,1,1,1,1,1,1,1,1
67,Café Del Mar,0,0,1,1,0,1,0,0,1,0
68,Basia,0,0,0,0,0,1,0,0,0,0
69,Camouflage,0,0,1,1,0,0,1,0,0,0
70,Electronic,0,0,1,1,0,0,0,1,0,0
71,George Michael,1,1,0,0,0,0,1,1,0,0
72,The Adventures,0,0,1,0,0,0,1,0,0,0
73,Fiction Factory,0,1,0,0,0,0,1,0,0,0
74,Groove Armada,0,0,0,1,0,0,0,1,0,0
75,Portishead,1,1,1,1,1,1,0,1,0,0
76,Marc Almond,0,1,1,1,0,0,1,0,0,0
77,Cock Robin,0,1,0,0,0,0,1,0,0,0
78,Cut Copy,0,0,0,1,1,0,0,1,0,0
79,Spandau Ballet,0,1,0,0,0,0,1,1,0,0
80,Katie Melua,0,1,0,0,1,1,0,1,0,0
81,Deacon Blue,0,1,0,0,0,0,1,0,0,0
82,Gorillaz,1,1,1,1,1,0,0,1,1,0
83,Lady Gaga,1,1,1,1,0,1,0,1,0,0
84,Kosheen,0,0,1,1,0,0,0,1,0,0
85,Nik Kershaw,1,1,1,1,0,0,1,1,0,0
86,Vitamin Z,0,0,0,0,0,0,1,0,0,0
87,Jean-Michel Jarre,0,1,0,1,0,0,0,0,0,0
88,Ministry of Sound,0,0,0,0,0,0,0,1,0,0
89,Simply Red,1,1,1,0,0,0,1,1,0,0
90,Fleetwood Mac,1,1,0,0,0,1,1,0,0,1
91,Duffy,0,1,0,0,1,1,0,0,0,0
92,Japan,0,0,0,1,0,0,1,1,0,0
93,INXS,1,1,1,0,1,0,1,1,1,1
94,ABC,0,1,0,0,0,0,1,0,0,0
95,Pleq,0,0,0,0,0,0,0,0,0,0
96,Segue,0,0,0,1,0,0,0,0,0,0
97,Max Richter,0,0,0,0,0,0,0,0,0,0
98,Celer,0,0,0,0,0,0,0,0,0,0
99,Pjusk,0,0,0,0,0,0,0,0,0,0
100,Pleq & Segue,0,0,0,0,0,0,0,0,0,0
101,Burial,0,0,0,1,0,0,0,0,0,0
102,Magnitophono,0,0,0,0,0,0,0,0,0,0
103,andy graydon,0,0,0,0,0,0,0,0,0,0
104,ddekombinacja,0,0,0,0,0,0,0,0,0,0
105,Pleq & Anna Rose Carter,0,0,0,0,0,0,0,0,0,0
106,Go Koyashiki,0,0,0,0,0,0,0,0,0,0
107,Dustin O'Halloran,0,0,0,0,0,0,0,0,0,0
108,offthesky,0,0,0,0,0,0,0,0,0,0
109,Nebulo,0,0,0,0,0,0,0,0,0,0
110,Fjordne,0,0,0,0,0,0,0,0,0,0
111,Pleq & Chihiro,0,0,0,0,0,0,0,0,0,0
112,Spyweirdos,0,0,0,0,0,0,0,0,0,0
113,billy gomberg + offthesky,0,0,0,0,0,0,0,0,0,0
114,Deru,0,0,0,0,0,0,0,0,0,0
115,Lukid,0,0,0,0,0,0,0,0,0,0
116,Manekinekod,0,0,0,0,0,0,0,0,0,0
117,Danny Norbury,0,0,0,0,0,0,0,0,0,0
118,Shinkei & Mise En Scene,0,0,0,0,0,0,0,0,0,0
119,aslope,0,0,0,0,0,0,0,0,0,0
120,The Notwist,1,0,0,1,1,0,0,1,0,0
121,Off the Sky,0,0,0,0,0,0,0,0,0,0
122,strom noir,0,0,0,0,0,0,0,0,0,0
123,Aless,0,0,0,0,0,0,0,0,0,0
124,Philippe Lamy,0,0,0,0,0,0,0,0,0,0
125,Part Timer,0,0,0,0,0,0,0,0,0,0
126,Deaf Center,0,0,0,0,0,0,0,0,0,0
127,Lauki,0,0,0,0,0,0,0,0,0,0
128,Big Brotherz,0,0,0,0,0,0,0,0,0,0
129,cokiyu,0,0,0,0,0,0,0,0,0,0
130,Verbose,0,0,0,0,0,0,0,0,0,0
131,Worm Is Green,0,0,0,1,0,0,0,0,0,0
132,Library Tapes,0,0,0,0,0,0,0,0,0,0
133,Richard Skelton,0,0,0,0,0,0,0,0,0,0
134,Matryoshka,0,0,0,1,0,0,0,0,0,0
135,Aidan Baker,0,0,0,0,0,0,0,0,0,0
136,Ylid,0,0,0,0,0,0,0,0,0,0
137,Daisuke Miyatani,0,0,0,1,0,0,0,0,0,0
138,Dakota Suite,0,0,0,0,0,0,0,0,0,0
139,Ryonkt,0,0,0,0,0,0,0,0,0,0
140,Hird,0,0,0,1,0,0,0,0,0,0
141,Svarte Greiner,0,0,0,0,0,0,0,0,0,0
142,The Boats,0,0,0,0,0,0,0,0,0,0
143,The Sound Of Lucrecia,0,0,0,0,0,0,0,0,0,0
144,Porzellan,0,0,0,0,0,0,0,0,0,0
145,Deep Forest,0,0,0,1,0,0,0,0,0,0
146,Porcupine Tree,1,0,1,0,0,0,0,0,1,0
147,De/Vision,0,0,1,1,0,0,1,1,0,0
148,Radiohead,1,1,1,1,1,0,1,0,1,1
149,Robbie Williams,1,1,1,0,1,0,1,0,0,0
150,VAST,1,0,1,1,1,0,0,0,1,0
151,Michael Jackson,1,1,1,0,0,0,1,1,0,1
152,עברי לידר,0,0,0,0,0,0,0,0,0,0
153,The Cure,1,1,1,1,1,0,1,0,1,1
154,אביב גפן,0,0,0,0,0,0,0,0,0,0
155,Enrique Iglesias,1,1,0,1,0,0,0,1,0,0
156,God Is an Astronaut,1,0,1,0,0,0,0,0,1,0
157,Pink Floyd,1,0,1,1,1,0,1,0,1,1
158,יוני בלוך,0,0,0,0,0,0,0,0,0,0
159,Planet Funk,0,1,0,1,0,0,0,1,0,0
160,The Cranberries,1,1,1,0,1,1,0,0,1,1
161,Scissor Sisters,1,1,1,1,1,1,0,1,0,0
162,דניאל סלומון,0,0,0,0,0,0,0,0,0,0
