,Artista,rock,pop,alternative,electronic,indie,female vocalists,80s,dance,alternative rock,classic rock
0,Diary of Dreams,0,0,0,1,0,0,0,0,0,0
1,Moi dix Mois,1,0,0,0,0,0,0,0,0,0
2,Marilyn Manson,1,0,1,0,0,0,0,0,1,0
3,DIR EN GREY,1,0,0,0,0,0,0,0,0,0
4,Combichrist,0,0,0,1,0,0,0,0,0,0
5,Grendel,0,0,0,1,0,0,0,0,0,0
6,Agonoize,0,0,0,1,0,0,0,0,0,0
7,Hocico,0,0,0,1,0,0,0,0,0,0
8,London After Midnight,0,0,0,1,0,0,0,0,0,0
9,The Crüxshadows,0,0,0,1,0,0,0,0,0,0
10,:wumpscut:,0,0,0,1,0,0,0,0,0,0
11,The Kovenant,0,0,0,1,0,0,0,0,0,0
12,Tamtrum,0,0,0,1,0,0,0,0,0,0
13,Laibach,0,0,0,1,0,0,0,0,0,0
14,And One,0,0,1,1,0,0,1,1,0,0
15,Covenant,0,0,0,1,0,0,1,0,0,0
16,Icon of Coil,0,0,0,1,0,0,0,0,0,0
17,KMFDM,0,0,0,1,0,0,0,0,0,0
18,Sopor Aeternus & The Ensemble of Shadows,0,0,0,1,0,0,0,0,0,0
19,The Faint,0,0,1,1,1,0,0,1,0,0
20,Noisuf-X,0,0,0,1,0,0,0,0,0,0
21,Mindless Self Indulgence,1,0,1,1,0,0,0,0,0,0
22,Reaper,0,0,0,1,0,0,0,0,0,0
23,Duran Duran,1,1,1,1,1,0,1,1,1,1
24,Morcheeba,0,1,0,1,0,1,0,1,0,0
25,Air,0,0,1,1,1,0,1,1,0,1
26,Hooverphonic,1,1,1,1,1,1,0,0,0,0
27,Kylie Minogue,1,1,1,1,1,1,1,1,0,0
28,Daft Punk,0,1,1,1,0,0,1,1,0,0
29,Thievery Corporation,0,0,0,1,0,0,0,0,0,0
30,Goldfrapp,0,1,1,1,1,1,0,1,0,0
31,New Order,1,1,1,1,1,0,1,1,1,0
32,Talk Talk,0,1,0,1,0,0,1,1,0,0
33,Prefab Sprout,0,1,1,0,0,0,1,0,0,0
34,Enigma,0,0,1,1,0,0,0,0,0,0
35,Röyksopp,0,0,0,1,1,1,0,1,0,0
36,Coldplay,1,1,1,1,1,0,0,0,1,1
37,Faithless,0,1,1,1,0,1,0,1,0,0
38,Madonna,1,1,1,1,1,1,1,1,0,1
39,Icehouse,1,1,0,1,0,0,1,1,0,0
40,Sade,0,1,1,0,0,1,1,0,0,0
41,Moby,1,1,1,1,1,1,1,1,1,0
42,Dido,1,1,1,1,1,1,0,0,0,0
43,Depeche Mode,1,1,1,1,1,1,1,1,1,1
44,Café Del Mar,0,0,1,1,0,1,0,0,1,0
45,Basia,0,0,0,0,0,1,0,0,0,0
46,Camouflage,0,0,1,1,0,0,1,0,0,0
47,Electronic,0,0,1,1,0,0,0,1,0,0
48,George Michael,1,1,0,0,0,0,1,1,0,0
49,The Adventures,0,0,1,0,0,0,1,0,0,0
50,Fiction Factory,0,1,0,0,0,0,1,0,0,0
51,Groove Armada,0,0,0,1,0,0,0,1,0,0
52,Portishead,1,1,1,1,1,1,0,1,0,0
53,Marc Almond,0,1,1,1,0,0,1,0,0,0
54,Cock Robin,0,1,0,0,0,0,1,0,0,0
55,Cut Copy,0,0,0,1,1,0,0,1,0,0
56,Spandau Ballet,0,1,0,0,0,0,1,1,0,0
57,Katie Melua,0,1,0,0,1,1,0,1,0,0
58,Deacon Blue,0,1,0,0,0,0,1,0,0,0
59,Gorillaz,1,1,1,1,1,0,0,1,1,0
60,Lady Gaga,1,1,1,1,0,1,0,1,0,0
61,Kosheen,0,0,1,1,0,0,0,1,0,0
62,Nik Kershaw,1,1,1,1,0,0,1,1,0,0
63,Vitamin Z,0,0,0,0,0,0,1,0,0,0
