,tagID,value,uses,popularity
0,73,rock,7503,7503
1,24,pop,5418,5418
2,79,alternative,5251,5251
3,18,electronic,4672,4672
4,81,indie,4458,4458
5,130,female vocalists,4228,4228
6,25,80s,2791,2791
7,39,dance,2739,2739
8,78,alternative rock,2631,2631
9,192,classic rock,2287,2287
10,195,british,2092,2092
11,84,indie rock,2060,2060
12,134,singer-songwriter,1834,1834
13,72,hard rock,1789,1789
14,33,experimental,1741,1741
15,1,metal,1729,1729
16,14,ambient,1699,1699
17,352,90s,1615,1615
18,16,new wave,1595,1595
19,127,seen live,1439,1439
20,13,chillout,1387,1387
21,102,hip-hop,1385,1385
22,181,punk,1311,1311
23,292,folk,1309,1309
24,187,electronica,1289,1289
25,167,rnb,1266,1266
26,191,instrumental,1203,1203
27,386,heavy metal,1108,1108
28,625,soul,1097,1097
29,185,acoustic,1045,1045
30,387,progressive rock,1038,1038
31,735,70s,1025,1025
32,83,jazz,984,984
33,184,soundtrack,945,945
34,306,male vocalists,925,925
35,61,industrial,884,884
36,21,trip-hop,876,876
37,376,metalcore,867,867
38,103,rap,860,860
39,74,synthpop,847,847
40,216,american,828,828
41,194,hardcore,823,823
42,296,indie pop,815,815
43,109,pop rock,811,811
44,210,00s,808,808
45,389,britpop,765,765
46,275,post-punk,757,757
47,247,60s,745,745
48,182,punk rock,744,744
49,829,blues,705,705
50,88,psychedelic,700,700
51,15,downtempo,685,685
52,213,beautiful,675,675
53,238,sexy,665,665
54,91,thrash metal,654,654
55,47,idm,640,640
56,87,post-rock,633,633
57,309,electro,631,631
58,285,awesome,625,625
59,508,love,620,620
60,824,mellow,595,595
61,850,cover,583,583
62,5,death metal,582,582
63,49,female vocalist,579,579
64,180,post-hardcore,567,567
65,432,brazilian,565,565
66,234,amazing,539,539
67,169,pop punk,531,531
68,193,country,514,514
69,86,ebm,511,511
70,76,progressive metal,506,506
71,176,emo,505,505
72,304,hip hop,504,504
73,526,piano,478,478
74,178,screamo,468,468
75,90,trance,464,464
76,85,funk,459,459
77,545,classical,454,454
78,177,nu metal,452,452
79,364,favorites,448,448
80,385,melodic death metal,433,433
81,179,gothic,412,412
82,170,grunge,408,408
83,105,house,404,404
84,30,german,394,394
85,346,female,392,392
86,611,canadian,388,388
87,615,power metal,388,388
88,570,techno,382,382
89,231,ballad,381,381
90,121,uk,377,377
91,206,<3,355,355
92,730,love at first listen,349,349
93,1911,cool,346,346
94,321,french,341,341
95,228,catchy,335,335
96,378,deathcore,334,334
97,541,japanese,331,331
98,17,synth pop,327,327
99,839,sad,315,315
100,308,latin,313,313
101,481,usa,312,312
102,391,shoegaze,308,308
103,311,reggae,306,306
104,823,brasil,306,306
105,4,black metal,301,301
106,229,epic,300,300
107,7,gothic metal,300,300
108,199,electropop,296,296
109,299,world,291,291
110,370,favorite,289,289
111,445,blues rock,288,288
112,693,mpb,278,278
113,34,minimal,272,272
114,695,oldies,258,258
115,424,progressive,256,256
116,20,lounge,256,256
117,1097,covers,255,255
118,575,darkwave,244,244
119,203,disco,242,242
120,527,classic,239,239
121,89,symphonic metal,239,239
122,23,new age,239,239
123,32,avant-garde,238,238
124,830,guitar,237,237
125,393,dream pop,228,228
126,26,atmospheric,227,227
127,935,lo-fi,224,224
128,67,noise,218,218
129,75,psychedelic rock,218,218
130,354,fun,217,217
131,724,happy,213,213
132,140,j-pop,212,212
133,2,alternative metal,212,212
134,601,swedish,211,211
135,6,industrial metal,210,210
136,1252,christian,210,210
137,1354,soft rock,209,209
138,826,chill,209,209
139,1447,remix,202,202
140,512,romantic,200,200
141,2726,favorite songs,197,197
142,511,english,195,195
143,265,ska,193,193
144,1076,rock n roll,192,192
145,319,spanish,190,190
146,108,rock and roll,188,188
147,640,urban,184,184
148,139,j-rock,174,174
149,741,grindcore,174,174
150,345,russian,174,174
151,209,legend,171,171
152,2349,sweet,170,170
153,836,dreamy,168,168
154,565,dark electro,168,168
155,249,garage rock,168,168
156,188,polish,168,168
157,600,futurepop,167,167
158,183,christian rock,167,167
159,190,gothic rock,166,166
160,82,doom metal,164,164
161,848,hair metal,163,163
162,56,melancholic,151,151
163,405,disney,149,149
164,200,hot,149,149
165,1249,powerpop,149,149
166,80,glam rock,149,149
167,1492,relax,146,146
168,483,party,145,145
169,825,relaxing,144,144
170,574,dark ambient,143,143
171,662,perfect,143,143
172,406,brazil,142,142
173,395,new romantic,142,142
174,608,italian,142,142
175,1995,icelandic,138,138
176,186,emocore,138,138
177,706,2008,137,137
178,1006,mathcore,134,134
179,1352,love songs,134,134
180,230,love it,133,133
181,793,fucking awesome,132,132
182,27,ethereal,132,132
183,201,guilty pleasures,132,132
184,1356,50s,131,131
185,1210,southern rock,130,130
186,396,electroclash,129,129
187,617,speed metal,128,128
188,360,australian,127,127
189,69,dub,126,126
190,557,easy listening,126,126
191,1627,bossa nova,125,125
192,447,favourites,125,125
193,642,guilty pleasure,124,124
194,1753,cute,124,124
195,1355,christmas,124,124
196,208,diva,123,123
197,742,brutal death metal,122,122
198,564,psytrance,122,122
199,1754,male vocalist,121,121
200,781,2010,120,120
201,828,finnish,120,120
202,1365,female fronted metal,118,118
203,719,gossip girl,118,118
204,46,melancholy,116,116
205,327,progressive trance,115,115
206,242,power pop,112,112
207,1534,indietronica,111,111
208,98,summer,111,111
209,500,brilliant,109,109
210,347,gay,109,109
211,821,post rock,109,109
212,233,dark,106,106
213,641,top 40,106,106
214,1358,post-grunge,106,106
215,356,latin pop,104,104
216,503,live,104,104
217,713,best song ever,104,104
218,743,technical death metal,104,104
219,727,vocal,104,104
220,287,lovely,103,103
221,626,drum and bass,103,103
222,2139,halloween,103,103
223,141,visual kei,101,101
224,799,genius,101,101
225,1286,glam metal,101,101
226,2115,acoustic rock,100,100
227,3375,memories,99,99
228,1538,art rock,97,97
229,1970,male,96,96
230,59,drone,96,96
231,349,teen pop,96,96
232,784,american idol,94,94
233,996,korean,94,94
234,1478,goth,93,93
235,253,rockabilly,93,93
236,3673,ultimate favorite,93,93
237,1735,club,92,92
238,528,folk rock,90,90
239,409,guitar virtuoso,90,90
240,1812,noise pop,90,90
241,164,k-pop,88,88
242,1353,scottish,87,87
243,712,gospel,87,87
244,3577,turkish,87,87
245,22,acid jazz,87,87
246,5286,the vampire diaries,86,86
247,831,the best,85,85
248,505,80s pop,84,84
249,232,addictive,84,84
250,159,anime,84,84
251,1222,hardcore punk,83,83
252,202,electro pop,82,82
253,2191,college rock,82,82
254,2246,underground hip-hop,81,81
255,70,dubstep,81,81
256,197,gangsta rap,81,81
257,1237,2009,81,81
258,2785,nice,80,80
259,189,industrial rock,80,80
260,120,world music,80,80
261,619,groove metal,79,79
262,2142,songs for gil,79,79
263,9817,indie luv,79,79
264,757,indie folk,78,78
265,1368,funny,78,78
266,1727,glam,78,78
267,1372,folk metal,77,77
268,1495,sex,77,77
269,2068,irish,76,76
270,1100,rain,76,76
271,1096,chill zone,76,76
272,1445,emotional,75,75
273,1539,melodic hardcore,75,75
274,738,nu-metal,74,74
275,543,stoner rock,74,74
276,1074,rhythm and blues,74,74
277,6170,descoperiri,74,74
278,5818,4m4zinq,74,74
279,2752,fantastic,73,73
280,1357,eurodance,73,73
281,8303,tbu,72,72
282,588,psychedelic trance,71,71
283,12287,melrose place,71,71
284,889,fav artists,71,71
285,2244,space rock,70,70
286,2118,americana,70,70
287,2140,rock hard,70,70
288,6628,barkbarkdisco,70,70
289,12209,other great tracks,69,69
290,19,80's,69,69
291,9763,singalong,69,69
292,1316,jpop,69,69
293,6171,aana,68,68
294,9820,idolo,68,68
295,855,new rave,67,67
296,1023,1992,67,67
297,394,proto-punk,67,67
298,4328,friends,67,67
299,1859,post punk,66,66
300,1098,miserable,66,66
301,604,norwegian,66,66
302,702,smooth,66,66
303,1348,great song,65,65
304,5819,f4nt4stic,65,65
305,2700,best,65,65
306,1833,ninja tune,64,64
307,128,hit,64,64
308,3507,brazilian rock,64,64
309,2064,alt-country,64,64
310,509,dance-pop,64,64
311,4449,90210,63,63
312,251,swing,63,63
313,507,10s,63,63
314,568,goa,62,62
315,408,female vocals,62,62
316,8061,cool as,62,62
317,885,fav songs,62,62
318,524,great,62,62
319,2805,single,62,62
320,4847,my fav songs,62,62
321,689,madonna,62,62
322,2336,favorite artist,61,61
323,2525,nu jazz,61,61
324,315,asian,61,61
325,302,ethnic,60,60
326,1680,faves,60,60
327,1858,england,60,60
328,1722,hard,59,59
329,10534,alsolike,59,59
330,122,old school,59,59
331,1099,christmas blend,59,59
332,955,favourite,59,59
333,6172,special,58,58
334,1302,composer,58,58
335,762,not emo,58,58
336,2217,straight edge,58,58
337,3539,good shit,57,57
338,8503,best christmas songs,57,57
339,6763,prejebeno,57,57
340,514,depeche mode,57,57
341,1671,summer song,57,57
342,8301,lpa,57,57
343,7253,check,56,56
344,415,nwobhm,56,56
345,7797,slowies,56,56
346,494,synth,56,56
347,227,comedy,56,56
348,1351,vocal trance,56,56
349,9819,my electro feelings,56,56
350,636,britney spears,55,55
351,7996,for work,55,55
352,9,electro-industrial,55,55
353,12208,new wave and eighties,55,55
354,10585,jukebox project,55,55
355,7995,eldad,55,55
356,6976,i love this song,55,55
357,895,british artists,55,55
358,92,dope,55,55
359,1797,powerful,55,55
360,4549,worship,55,55
361,7938,pop covers,53,53
362,2233,twee,53,53
363,12029,tinosoft,52,52
364,2511,crazy,52,52
365,797,masterpiece,52,52
366,3536,phat,52,52
367,4356,favorite bands,52,52
368,8670,iron jesus,52,52
369,771,underrated,52,52
370,1889,progressive death metal,52,52
371,297,pop-rock,52,52
372,1032,1991,52,52
373,3242,sick,52,52
374,44,glitch,51,51
375,7252,berep shows the love,51,51
376,4141,old,51,51
377,9821,inlove,51,51
378,4952,oui fm,51,51
379,842,piano rock,51,51
380,1102,duets,51,51
381,4289,songs ive obsessed over,50,50
382,1955,90's,50,50
383,513,nostalgic,50,50
384,137,specials to 3mmey,50,50
385,1219,jrock,50,50
386,8302,great memories with my siss,50,50
387,9182,sxsw2006,49,49
388,8304,oh so catchy,49,49
389,8497,all the best,49,49
390,4430,classic country,49,49
391,4938,my favorites,49,49
392,2192,album rock,49,49
393,226,california,49,49
394,160,noise rock,49,49
395,1264,breakcore,49,49
396,245,garage,49,49
397,844,sensual,49,49
398,144,arabic,49,49
399,853,celtic,49,49
400,1198,dreampop,49,49
401,207,want to see live,48,48
402,792,1980s,48,48
403,1086,female voices,48,48
404,701,beyonce,48,48
405,3572,loved,48,48
406,9945,fave,48,48
407,8392,ich liebe dich,48,48
408,1593,popular,48,48
409,5104,jamaica,48,48
410,11877,awesome-ness,48,48
411,9822,remember him,47,47
412,9823,rock me babe,47,47
413,3534,tight,47,47
414,3605,favourite songs,47,47
415,3048,chanson francaise,47,47
416,8498,best songs of the 00s,47,47
417,3829,straight up modern rock,47,47
418,670,girl power,46,46
419,956,the beowulfs choice,46,46
420,758,instrumental hip-hop,46,46
421,8300,good old times,46,46
422,10230,listened more than 10 times in a row,46,46
423,709,1982,46,46
424,198,rapcore,46,46
425,6304,my favorite,46,46
426,1044,1995,45,45
427,28,deutsch,45,45
428,849,riot grrrl,45,45
429,3869,songs i absolutely love,45,45
430,897,new wave artists,45,45
431,4897,b-side,45,45
432,801,hypnotic,45,45
433,1048,1981,45,45
434,780,legends,45,45
435,2887,energetic,45,45
436,7865,jamaican,45,45
437,2938,twilight,45,45
438,989,duet,44,44
439,3588,u2,44,44
440,1087,justin timberlake,44,44
441,3970,lol,44,44
442,1040,1996,44,44
443,737,great lyrics,44,44
444,10490,bliss,44,44
445,8728,bi daha dinlicem,44,44
446,1373,viking metal,44,44
447,499,melodic,44,44
448,1238,2007,43,43
449,123,new york,43,43
450,4258,barrelhouse covers,43,43
451,2137,i am canadian,43,43
452,6450,handclaps,43,43
453,3541,the good stuff,43,43
454,11757,film music composer,43,43
455,442,sludge,43,43
456,12218,vfsix,42,42
457,5532,baixar,42,42
