C:\Users\raffa\AppData\Local\Programs\Python\Python36-32\python.exe "C:/Users/raffa/Desktop/Trabalhos 8 Periodo/Inteligencia Artificial/recommender-system/unsupervised/src/main.py"
                                             Artista  cluster
3249                                Belinda Carlisle        0
206                                  Allison Iraheta        0
5867                               Melissa Etheridge        0
953                                   Paul McCartney        0
2142                                             Nek        0
4350                                         LS Jack        0
694                                         The Fixx        0
200                                     Kate Voegele        0
628                                  Destiny's Child        0
2151                                  Chris de Burgh        0
3571                              The Cold Napoleons        0
196                               Panic at the Disco        0
1922                         Os Paralamas do Sucesso        0
194                                      Alicia Keys        0
2494                                        The La's        0
2153                                         Массква        0
690                                      Rick Astley        0
5708                                      Empty Room        0
4792                                 The Velvet Teen        0
955                                  George Harrison        0
1468                                          Juanes        0
3537                                            Yatu        0
1471                                      Billy Joel        0
4096                             The Lovin' Spoonful        0
4341                                     THE VICKERS        0
5576                Frankie Valli & The Four Seasons        0
4092                               Steve Miller Band        0
4090                                 Three Dog Night        0
217                                   Ashley Tisdale        0
684                             Mike & The Mechanics        0
2888                                          Ferras        0
1920                                      Jota Quest        0
213                                   Jonas Brothers        0
5119                 Francesca Reggio and Blue Shift        0
3556                                   Celtas Cortos        0
1839                                 The Moody Blues        0
227                                            Sandy        0
2395                                  Gerry Rafferty        0
3320                                         Go West        0
2722                                 Andrés Calamaro        0
1530                                    Hall & Oates        0
4821                                 Meredith Brooks        0
165                                      Tina Turner        0
1108                                       Anathallo        0
163                                       Kid Abelha        0
1533                                            Toto        0
319                                    Savage Garden        0
1110                           Elio e le Storie Tese        0
4375                                            Juli        0
5704                                     Son of Dork        0
2829                                  Kasia Kowalska        0
4042                                         33Miles        0
1082                                        Aly & AJ        0
429                                 The Sea and Cake        0
2724                                  Gustavo Cerati        0
2870                                  Gianna Nannini        0
2732                                       Vicentico        0
172                                     Richard Marx        0
4058                                     A.C. Newman        0
2498                                     Mini k Bros        0
1518                The Pains of Being Pure at Heart        0
1831                                       Kate Bush        0
2745                                Charlie's Angels        0
2318                                    The Thermals        0
419                                           Prince        0
318                                             Blue        0
2739                                   Nancy Sinatra        0
178                                    Janet Jackson        0
1525                                 Vanessa Carlton        0
4556                                  Bernard Butler        0
1527                                        Lu Alone        0
4048                                  Glenda Collins        0
2733                                  Alejandro Sanz        0
1529                                Bay City Rollers        0
1467                                   Rascal Flatts        0
963                                    Stevie Wonder        0
3114                                     Nick Lachey        0
2810                                         Chicago        0
1888                                  Michael Bolton        0
2094                                          Hanson        0
2095                                    Gavin DeGraw        0
4179                                The Kelly Family        0
1885                                      Supertramp        0
1040                                   Skye Sweetnam        0
2287                                      Status Quo        0
5755                                    Bette Midler        0
1297                                        Bee Gees        0
1883                                    Neil Diamond        0
1012                                    Paolo Nutini        0
3261                                     Wet Wet Wet        0
3260                                           T'Pau        0
5281                               Elvira Nikolaisen        0
2290                                       Foreigner        0
5561                                   The Waterboys        0
2291                                     The Hooters        0
3514                                          Lillix        0
4322                                 Allstar Weekend        0
2304                                          Poison        0
2819                                          Indica        0
1913                                     Betty Curse        0
639                                        Nightwish        0
2443                                     The Bangles        0
4323                           The Friday Night Boys        0
1964                                       [unknown]        0
2444                                     Joe Jackson        0
1027                                      Joss Stone        0
392                                     Adam Lambert        0
1894                                        Lee Ryan        0
2448                 Jay-Z, Bono, The Edge & Rihanna        0
1962                                     Sheryl Crow        0
1414                                            KISS        0
3516                                    Danni Carlos        0
2802                                     The Zombies        0
5164                                            fun.        0
2801                                  Peter & Gordon        0
4127                                    Sonny & Cher        0
5807                   Under the Influence of Giants        0
5813                                       The Knack        0
2777                                   Eddie Cochran        0
401                                          The Who        0
2310                                          Europe        0
3312                                 Hanna Pakarinen        0
2475                                            Doda        0
2476                                          Amerie        0
236                                  Wir sind Helden        0
575                                   The Stranglers        0
5831                                    Samantha Fox        0
2478                                          Virgin        0
232                                     Taylor Swift        0
966                        Christopher Von Uckermann        0
246                                     Shania Twain        0
3246                                        Boney M.        0
400                                        The Kinks        0
1293                       Frankie Goes to Hollywood        0
3257                                     Big Country        0
997                                      B.J. Thomas        0
996                                     Ricky Martin        0
5781                                        Nevilton        0
2800                                           Bread        0
1441                                Alejandra Guzmán        0
994                            The Mamas & The Papas        0
4670                                       Mark Owen        0
3252                                      Air Supply        0
992                                    Jensen Ackles        0
990                                             ABBA        0
989                                    Amy Macdonald        0
667                                          Santana        0
4718                                   Todd Rundgren        0
1089                                        Orianthi        0
2032                                   Kenny Chesney        0
2785                                  Camera Obscura        0
625                                  Vanessa Hudgens        0
1819                                           Kudai        0
2689                                         Scandal        0
4270                                    Alex Chilton        0
1765                          Paul McCartney & Wings        0
4584                                 Мирбек Атабеков        0
1764                                      Carpenters        0
2235                                 Freddie Mercury        0
5419                                           K-Sis        0
48                                    George Michael        0
3362                                  USA for Africa        0
1761                                    Bonnie Tyler        0
1355                                Serge Gainsbourg        0
520                                      Lulu Santos        0
1760                                     Ringo Starr        0
2620                                           Black        0
2184                                           Wings        0
353                                            LaFee        0
4982                              Marianne Faithfull        0
6059                                Tiffany Thornton        0
1656                                         Mr. Big        0
2579                                          Strike        0
3683                                       Город 312        0
2181                                 Evan Taubenfeld        0
854                                   The Beach Boys        0
1771                                  The Click Five        0
6027                                 Peter Schilling        0
853                                            Skank        0
67                                     Fleetwood Mac        0
66                                        Simply Red        0
1925                                      Sandy Leah        0
3907                                      Tina Arena        0
3906                              Patrycja Markowska        0
6031                                   Anthem Lights        0
3905                                     Varius Manx        0
1766                                      Jay Vaquer        0
4618                                        Catedral        0
3896                                   Darius Rucker        0
3699                                          The Dø        0
3705                                           Texas        0
3709                                          Auburn        0
3808                                   Marco Borsato        0
2359                                      Drake Bell        0
1737                                          HEVO84        0
1169                                 Luther Vandross        0
2349                                   Ronan Keating        0
5251                                    Edwin McCain        0
5263                                Peppino di Capri        0
1733                                 Christina Perri        0
804                                      Roy Orbison        0
4945                                            Love        0
2352                                 Julieta Venegas        0
3125                                           Slade        0
3122                                            TV-2        0
3749                                       Parachute        0
3776                                             EMF        0
3442                                 Daniel Johnston        0
3735                                         No Core        0
367                                Within Temptation        0
1698                                     Rod Stewart        0
2613                                          Olivia        0
4893                                 The Temptations        0
483                                    Honor Society        0
2065                                    Grizzly Bear        0
1156                                    The Runaways        0
4611                                        Zucchero        0
595                                       Roxy Music        0
3160                               The J. Geils Band        0
514                                           Eagles        0
1348                                     The Rascals        0
3839                                    The Cowsills        0
2220                                       Tom Jones        0
2611                                      Mr. Mister        0
3822                                     The Hollies        0
3451                                          Krezip        0
1165                             Héroes del Silencio        0
1690                                    Jim Sturgess        0
1982                                         America        0
4865                                   Harry Nilsson        0
2063                                    Les Savy Fav        0
546                                              Fey        0
3989                                Bethany Joy Lenz        0
1578                                      Paul Simon        0
1795                              Lindsey Buckingham        0
1583                                  Ben Folds Five        0
736                                        Ewa Farna        0
737                                              Łzy        0
1788                                            Seal        0
738                                    Alexz Johnson        0
3970                                        Loverboy        0
3967             Prince and the New Power Generation        0
330                                           Eminem        0
1593                            A Rocket to the Moon        0
1594                                         Sonohra        0
1595                                        Studio 3        0
734                                        Camp Rock        0
3676                                     The Monkees        0
1123                                    Renato Russo        0
1233                           HIGH and MIGHTY COLOR        0
556                                   Geri Halliwell        0
4031                                      Lee DeWyze        0
1047                                       Anastacia        0
325                                      Nick Carter        0
622                                    Crowded House        0
1080                                           Bratz        0
2312                                          Lucero        0
4396                                  Connie Francis        0
3330                                     Kurt Nilsen        0
5509                            Terence Trent D'Arby        0
4015                               El Canto del Loco        0
548                                          Belinda        0
1235                                   Fool's Garden        0
4409                                 Daisy Dares You        0
4006                                 Nicole Natalino        0
732                                             Pink        0
113                                       Elton John        0
1596                                            Modà        0
2671                                   Kenny Loggins        0
1147                                       Umaturman        0
5662                                    Irene Grandi        0
609                                            Jewel        0
610                                     Dixie Chicks        0
3170                                          Estopa        0
467                                            Mando        0
2176                                     Bryan Ferry        0
5617                                      The Grates        0
4442                                           Dibob        0
2920                                     LeAnn Rimes        0
1056                                    Jimi Hendrix        0
3433                                  Stephan Eicher        0
2661                                             883        0
1597                                   Bidê ou Balde        0
2173                                            PMMP        0
754                                            Wham!        0
1079                               Charlie Brown Jr.        0
1599                                            Lost        0
2670                                        Survivor        0
3966                         Prince & The Revolution        0
2906                                          Libido        0
450                                       Άννα Βισση        0
1375                                           Heart        0
5594                                       Supernova        0
1374                              Lisa Marie Presley        0
1131                                    Cássia Eller        0
1998                                   Mylène Farmer        0
1372                                   Michael Bublé        0
4251                               Ike & Tina Turner        0
1316                                     Vasco Rossi        0
102                                          Roxette        0
3286                                    Jane Wiedlin        0
2061                                         Caribou        1
4582                                      Технология        1
1076                                      BrokeNCYDE        1
2062                                     James Blake        1
4581                                           Tenek        1
1077                                  Stephen Jerzak        1
1105                                  Cliff Martinez        1
4579                                   Vector Lovers        1
4537                                    Hallucinogen        1
4536                                        La Magra        1
4535                                      Lola Angst        1
4534                                          Yendri        1
4533                                     Pzychobitch        1
4521                                 Jody Wisternoff        1
3337                                       Yonderboi        1
4518                                        Monolake        1
4516                             Imminent Starvation        1
3343                                Between Interval        1
1149                                     Amethystium        1
1150                               Nightmares on Wax        1
4514                                           Vromb        1
4513                                This Morn' Omina        1
4512                                         32Crash        1
4511                                         Empusae        1
4510                                    Ah Cama-Sotz        1
4509                                       100blumen        1
4508                               Hanzel und Gretyl        1
4507                                          Moenia        1
3344                                     Staruha Mha        1
1167                                       Jazzanova        1
4499                                      Chillsongs        1
1170                                           4hero        1
3345                                         _Algol_        1
4538                          Melleefresh & Deadmau5        1
1086                                    iamamiwhoami        1
1135                                    Emilie Simon        1
4540                                  In[Perfektion]        1
4578                                       Deichkind        1
4577                                          新宿ゲバルト        1
1093                                   Clint Mansell        1
4574                                 Scarlett O'Hara        1
3314                                  Alien Vampires        1
3315                                         FGFC820        1
3318                                        Modulate        1
1099                                    Philip Glass        1
4567                                Message to Bears        1
4561                                           Freur        1
3322                                       The Books        1
3324                                           Pryda        1
1112                                 Craig Armstrong        1
3325                                    Tommy Sparks        1
1114                                         Hammock        1
4546                              Two Lone Swordsmen        1
4545                                       Deepspace        1
4544                                      Alex Under        1
1119                                         Apparat        1
3328                                    Color Theory        1
4543                                     GreenGender        1
3331                                          YeDish        1
3333                                  Atlantic Popes        1
4542                                     Jan Jelinek        1
4541                                      Alex Smoke        1
4539                                       Z Prochek        1
4597                                           oOoOO        1
0                                    Diary of Dreams        1
2067                                      Gold Panda        1
871                                         Headscan        1
872                                    Tactical Sekt        1
873                                Electric Universe        1
875                                           Samael        1
876                               Velvet Acid Christ        1
878                          Blue Planet Corporation        1
