
                                                 Artista  cluster
1556                                        Quincy Jones        0
4037                            The Dave Brubeck Quartet        0
8644                                            Toquinho        0
8153                                     Hermeto Pascoal        0
6752                                       David Axelrod        0
5995                                      Charlie Parker        0
3534                                            Tribraco        0
5327                                      The Budos Band        0
1054                                          Naked City        0
7330                                   Mouse On The Keys        0
3378                                      Weather Report        0
2012                                        Glenn Miller        0
1702                                         Al Di Meola        0
1511                               Esbjörn Svensson Trio        0
5648                                     Astor Piazzolla        0
2760                                           John Zorn        0
10036                                           Tymphony        0
9966                                       Avishai Cohen        0
8269                                      George Winston        0
7411                                        Paul Desmond        0
8147                                      Jaco Pastorius        0
7656                                       Keith Jarrett        0
7962                                        Keiko Matsui        0
8052                                          Shawn Lane        0
7655                                      Cameron Mizell        0
607                              Buena Vista Social Club        0
7026                                      Charles Mingus        0
7653                                   Dunham Van Durham        0
7650                                         Pat Metheny        0
9655                                       Anouar Brahem        0
4657                                       Paco de Lucía        0
1008                             Mychael Danna/DeVotchKa        0
7648                                        Bill Frisell        0
4658                                                 蕭亞軒        0
5005                                          Jimmy Page        0
5010                                 Alamaailman Vasarat        0
8582                                    Acoustic Alchemy        0
9581                                       Estradasphere        0
8596                                        Jim Brickman        0
1652                                              Madlib        0
8146                                    Egberto Gismonti        0
2404                                       Sonny Rollins        0
2413                                      Charlie Barnet        0
2412                                     Louis Armstrong        0
8475                                               Арчер        0
2408                                         Count Basie        0
10065                                       David Benoit        0
6251                                             Kenny G        0
518                                        John Coltrane        0
529                                      Thelonious Monk        0
2403                                      Duke Ellington        0
7424                                         Hank Mobley        0
10071                                        Rippingtons        0
4683                                           Jeff Beck        0
3129                                         Gipsy Kings        0
5742                                       Marcus Miller        0
9496                                     Milivoj Culibrk        0
4909                                             Go West        1
2589                                       The Creatures        1
9850                              Martha and the Muffins        1
3048                                      The Associates        1
4322                                   The Danse Society        1
2348                                           Five Star        1
8056                                           The Alarm        1
4323                                         The Passage        1
3199                                         The Hooters        1
4908                                      Modern English        1
6588                                          The Korgis        1
732                                        Virgin Prunes        1
9648                                      Boy Meets Girl        1
9187                                        Abecedarians        1
3035                                       Silent Circle        1
5693                                           Nick Cave        1
5885                                         The Mission        1
7385                                          The Pogues        1
3748                                        Peter Godwin        1
5304                                    The English Beat        1
3746                                          Nick Kamen        1
5187                                      Wall of Voodoo        1
4042                                                 RPM        1
5889                                         The Feelies        1
10047                                       Tom Verlaine        1
3745                                        Cutting Crew        1
2088                                          Paul Young        1
9039                               The Teardrop Explodes        1
2036                                        The Specials        1
2035                                   Public Image Ltd.        1
4316                                           The Names        1
2577                                           Burnt Fur        1
1316                                The Sisters of Mercy        1
5191                                    The Icicle Works        1
4409                                    Men Without Hats        1
8781                                             Skywave        1
4385                               Valery & The Greedies        1
6523                                             B-Movie        1
2437                                                Кино        1
4318                               Sad Lovers and Giants        1
8205                                             Josef K        1
4319                                      The Chameleons        1
4412                                     Missing Persons        1
7230                                               Freur        1
4321                                   The Comsat Angels        1
5190                                        Pete Shelley        1
5914                                         Twin Shadow        1
9042                                            Pere Ubu        1
4842                                             Squeeze        1
3947                                   Adam and the Ants        1
6184                                        Asylum Party        1
8160                                     Pink Turns Blue        1
7724                                   Les Rita Mitsouko        1
7532                             Kitchens of Distinction        1
53                                         Prefab Sprout        1
2960                         The Mighty Mighty Bosstones        1
6967                                  The Monochrome Set        1
1597                                                Devo        1
7288                                         The Bolshoi        1
1598                                           Split Enz        1
6650                                       The Raincoats        1
1599                                                 XTC        1
1605                                          Shriekback        1
1606                                                Wire        1
6895                                 Marc and the Mambas        1
4808                                         Haircut 100        1
1616                                           Landscape        1
4810                                        Aztec Camera        1
1614                                            Magazine        1
1526                                           Indochine        1
8162                                             Lowlife        1
3945                                            Adam Ant        1
6181                                    Classix Nouveaux        1
6220                                 Sigue Sigue Sputnik        1
3942                                         The Go-Go's        1
5409                                             Bushido        1
5023                                    The Blow Monkeys        1
5405                                       Deborah Harry        1
5484                                         Bow Wow Wow        1
1611                              Yellow Magic Orchestra        1
7722                                          Nina Hagen        1
6640                                           The Sound        1
1617                                     Scritti Politti        1
7570                                           The Slits        1
2695                                     Alien Sex Fiend        1
473                                       The Fleshtones        1
4837                                        Josie Cotton        1
5463                                              Mecano        1
474                                       The Barracudas        1
83                                             Vitamin Z        1
4838                                      Altered Images        1
4836                                          Boy George        1
6905                                            Au Pairs        1
1809                                      Memorial Beach        1
1725                                             Madness        1
9014                              Dexys Midnight Runners        1
2878                                        Les Savy Fav        1
9497                                          Duncan Dhu        1
10148                                        O. Children        1
2713                                    Love and Rockets        1
1569                                         Grace Jones        1
8244                                                Trio        1
3021                                          Romeo Void        1
69                                        The Adventures        1
3023                                    This Mortal Coil        1
4801                                         Big Country        1
886                                               Exposé        1
1729                                               Ska-P        1
694                                            Ensiferum        2
691                                          Amon Amarth        2
712                                       Pain Confessor        2
7916                                     Machinemade God        2
4179                                            Deadlock        2
6265                                               Daath        2
7915                                       Threat Signal        2
2230                                                1349        2
7914                                 The Autumn Offering        2
705                                        Scar Symmetry        2
1584                                   Heaven Shall Burn        2
3226                                    Disarmonia Mundi        2
706                                            Eluveitie        2
6264                                      Blinded Colony        2
2234                                                Aeon        2
3231                                           Nightrage        2
4175                                         The Agonist        2
2242                                           Cryptopsy        2
696                                        Divine Heresy        2
2237                                               Anata        2
684                                       As I Lay Dying        2
2159                                           Bloodbath        2
3627                                             Atheist        2
3533                                            Pimsleur        2
1337                                    Job for a Cowboy        2
9321                                  Beyond The Embrace        2
6998                                      Edge of Sanity        2
6015                                        Solution .45        2
7059                                           Draconian        2
1322                                    Bleeding Through        2
6016                                           Solerrain        2
1953                                            Dethklok        2
7049                                     Before the Dawn        2
1950                                              Neaera        2
7047                                           Imperanon        2
1944                                            Amorphis        2
7046                                      Dimension Zero        2
6901                                          Icon In Me        2
1959                                     Winds of Plague        2
7710                                         Dark Lunacy        2
8764                                           Degradead        2
8766                                        The Duskfall        2
3312                                          Dissection        2
5050                                            Dark Age        2
5052                                 Mors Principium Est        2
5053                             Eternal Tears of Sorrow        2
9955                                              Arkaea        2
8774                                        Hate Eternal        2
8773                                               Arsis        2
3742                                              Kalmah        2
685                                              Caliban        2
683                                    Dark Tranquillity        2
682                                      Sonic Syndicate        2
680                              The Black Dahlia Murder        2
3554                                          Psycroptic        2
677                                             Soilwork        2
675                                         Darkest Hour        2
8767                                  Lords of Decadence        2
2098                           Between the Buried and Me        2
2362                                               Engel        2
9983                                       Pig Destroyer        2
4852                                       Fractal Gates        2
2381                                           Hypocrisy        2
2966                                        Septic Flesh        2
981                                             Agalloch        2
5528                                         The Haunted        2
6634                                              Diablo        2
6631                 One Man Army and the Undead Quartet        2
8370                                    Cephalic Carnage        2
2682                                           Sentenced        2
10103                             Becoming the Archetype        2
2385                                             Skyfire        2
1049                                                Nile        2
2958                                               Cynic        2
5715                                            Gorefest        2
4854                                    Kill the Romance        2
3096                                        Veil of Maya        2
4859                                  Fear Of Domination        2
148                                                Opeth        2
4870                                            Satariel        2
8332                                         This Ending        2
4869                                           Universum        2
5657                                           The Crown        2
7498                                             Sybreed        2
4863                                             Zonaria        2
5659                                    Blood Red Throne        2
4853                                          Scorngrain        2
2380                                           Wintersun        2
1093                                             Carcass        2
2785                                     Light This City        2
2378                                           Insomnium        2
2367                                             myGRAIN        2
6503                                           Mercenary        2
8820                           At the Throne of Judgment        2
2784                                   Blood Stain Child        2
2803                                      Silent Descent        2
2375                                             Norther        2
2789                                              Mnemic        2
4813                                       Biomechanical        2
9894                           Abhaya & the Steam Injuns        3
541                                        Laura Pausini        3
660                                                  Fey        3
562                                               Safura        3
5645                                     Vermillion Lies        3
6922                                     Daisy Dares You        3
7378                                           Halestorm        3
9811                        月島きらり starring 久住小春(モーニング娘。)        3
9810                                                茅原実里        3
7228                                         Diane Birch        3
7229                                     Samantha Newark        3
9808                                                北出菜奈        3
9813                                                 Miz        3
665                                       Hannah Montana        3
2067                                          Best Coast        3
9814                                               安倍なつみ        3
9815                                                中澤裕子        3
4110                                                後藤真希        3
5628                                              Square        3
8770                                       Ania Wyszkoni        3
9481                                     Jessica Jarrell        3
4723                                        Lina Morgana        3
2511                                       Ivete Sangalo        3
9715                                                 平野綾        3
6707                                              Buono!        3
4617                                            Romy Low        3
546                                                  RBD        3
8943                                               Milla        3
2497                                               Lenka        3
7085                                      Sandy & Júnior        3
3070                                       Leilah Moreno        3
1365                                       Holly Valance        3
1356                                                Нюша        3
6209                                         Lesley Gore        3
9001                                           La Bouche        3
2753                                       Jordan Pruitt        3
2963                                      Marilyn Monroe        3
8336                                           Vitamin C        3
4228                                     Eliza Doolittle        3
5082                                   Loreena McKennitt        3
2793                                            Berryz工房        3
8292                                  Battle Of Wolf 359        3
3646                                       Roxanne Emery        3
6615                                          Kasia Wilk        3
5371                                          Imelda May        3
9807                                                松浦亜弥        3
8130                                      Baby do Brasil        3
3649                                La Oreja de Van Gogh        3
1440                                        Dolly Parton        3
6116                                                川田まみ        3
8493                                               Punch        3
5358                                        I Blame Coco        3
6091                                            Kristína        3
3447                                                Слот        3
