
                                                 Artista  cluster
6313                                         Boyz II Men        0
4935                                        Kevin Rudolf        0
1445                                      Stephen Jerzak        0
1291                                        Ricky Martin        0
1746                                        Simon Curtis        0
1446                                       The Ready Set        0
1282                                       Big Time Rush        0
1281                                              Rednex        0
473                                         Adam Lambert        0
1277                                   Far East Movement        0
2302                                               MBLAQ        0
3580                                        Jason Derülo        0
7600                                   Султан Садыралиев        0
272                                       Jonas Brothers        0
5688                                         Mike Posner        0
3157                                            Haddaway        0
3156                                        Andrew Sixty        0
6741                                      Mustafa Sandal        0
3155                                              Ice MC        0
256                                      David Archuleta        0
127                                     Enrique Iglesias        0
1654                                                동방신기        0
386                                      Backstreet Boys        0
387                                      Jesse McCartney        0
388                                         Aaron Carter        0
2875                                                 Ola        0
4165                                                Mash        0
390                                               *NSYNC        0
406                                            M. Pokora        0
2873                                               Danny        0
393                                                 Blue        0
398                                         Darren Hayes        0
5785                                     Charlie Winston        0
2670                                           Sean Paul        0
6169                                      Måns Zelmerlöw        0
947                                          Ace of Base        0
4044                                      Alejandro Sanz        0
1670                                      Gnarls Barkley        0
7596                                     Мирбек Атабеков        0
344                                             G-Dragon        0
311                                             BIG BANG        0
9481                                              E-Type        0
307                                         Shania Twain        0
3794                                          Crazy Loop        0
8573                                       Thomas Anders        0
3868                                           Take That        0
4744                                        Robin Thicke        0
4731                                          Tyler Adam        0
7442                                              Tyrese        0
9402                                       Filipe Guerra        0
2822                                              Tarkan        0
570                                                Darin        0
332                                         Super Junior        0
3737                                        Cody Simpson        0
2878                                         Blake Lewis        0
563                                           Dima Bilan        0
3132                                       Mr. President        0
3152                                           Vengaboys        0
3128                                             DJ BoBo        0
3129                                             Alcazar        0
3130                                          Double You        0
6067                                        Marty Stuart        1
2034                                         Phil Vassar        1
9250                                         Metamorfosi        1
6107                                        What We Feel        1
9238                                           Hombres G        1
6112                                 Проверочная Линейка        1
6050                                          Skepticism        1
6029                                           Fu Manchu        1
9236                                               Jumbo        1
6079                                     The Merseybeats        1
2037                                     Trisha Yearwood        1
9261                                            Mezquita        1
2038                                         Josh Turner        1
2004                                     The Music Tapes        1
10231                 ...And The Earth Swarmed With Them        1
10230                                  puffin on my side        1
9235                                        Łeb Prosiaka        1
9265                                  Samla Mammas Manna        1
9251                                          New Trolls        1
9259                                     Museo Rosenbach        1
6068                                     The Association        1
1996                                     Patricia Rivera        1
6049                                     Dehydrated Goat        1
10243                                   Pin-Up Went Down        1
9256                                        Alusa Fallax        1
10242                                        Allen-Lande        1
6040                                       Death by Kite        1
9255                              Quella Vecchia Locanda        1
9266                                  Locanda delle Fate        1
6075                                     The Grass Roots        1
9267                                      Campo di Marte        1
2025                                       Montana Skies        1
9258                                             Il Volo        1
10239                                 Invisible Elephant        1
1991                                        Jessie James        1
9254                                          Asia Minor        1
6073                                Charlie Daniels Band        1
9253                            Banco del Mutuo Soccorso        1
2030                                     Little Big Town        1
6071                                            Van Zant        1
9260                                           Semiramis        1
1922                                    Django Reinhardt        1
6138                                          Wilderness        1
9203                                    Settle the Score        1
10293                                     Johnny Hammond        1
9201                                            xBishopx        1
10295                                       Alton Miller        1
9199                                      Itchy Poopzkid        1
1855                                    Alarm Will Sound        1
6239                                     Love of Lesbian        1
6241                                            Rökkurró        1
10299                                      Roy Davis Jr.        1
6243                       Sigur Rós & Steindór Andersen        1
1849                                         Psychostick        1
6250                                              Lesiëm        1
1843                                               Total        1
6252                                         Lucio Dalla        1
6256                                             Blueboy        1
9193                               Destruction of a King        1
10302                                     Ananda Project        1
6265                                               Pezet        1
6268                                            MBrother        1
9190                                       Awaken Demons        1
1819                                       Saori@destiny        1
6272                                             Ventana        1
10304                                       Rosie and Me        1
9188                                       KT Wanderlust        1
1815                                                  태양        1
1814                                              U-KISS        1
6277                               How to Destroy Angels        1
9187                                               Popof        1
6281                                      Youth of Today        1
9204                                         xREPRESENTx        1
9206                                             Newklam        1
9211                                               MD.45        1
10291                                          Rick Wade        1
6140                                              Mañana        1
1940                                      Candan Erçetin        1
9227                                  Lords of Decadence        1
6148                                             Lörihen        1
10272                                       The Watchmen        1
10273                                          Big Sugar        1
10274                                          The Duhks        1
10275                                  Wild Strawberries        1
10277                                        Lyle Lovett        1
6156                                           Cold Cave        1
1925                                          Bill Evans        1
9226                                        The Duskfall        1
6025                                       The Mynabirds        1
6164                                     Arnaldo Antunes        1
10265                                      Secret Affair        1
9224                                           Degradead        1
1909                                      Maps & Atlases        1
1908                               Kind of Like Spitting        1
6173                                             Leeland        1
6177                                       Take It Back!        1
9219                                         George Duke        1
9218                              Liquid Trio Experiment        1
10282                                  Glenn Underground        1
10283                                         Kevin Yost        1
10286                                          Ron Trent        1
9215                                         Chick Corea        1
6187                                         On a Friday        1
6192                              John Lennon & Yoko Ono        1
1879                               Sarah Where Is My Tea        1
1878                                        The Hysteria        1
10281                                         The Rurals        1
9269                                        Panna Fredda        1
6001                                        Quadro Nuevo        1
10223                                       Chantal Goya        1
5711                                        Hazen Street        1
10160                                    Tolerância Zero        1
5705                                                Mint        1
5704                                           Barcelona        1
5702                                        L'elan Vital        1
5700                                         Sesto Sento        1
2283                                      Vains of Jenna        1
5698                                Edgar Broughton Band        1
2304                                                ZE:A        1
2305                                                 이정현        1
2308                                            Callisto        1
5689                                        Caro Emerald        1
9358                                    Munhoz & Mariano        1
5679                                        Juan Gabriel        1
2303                                               Shy'm        1
10153                                             Zeplin        1
5716                                           Alph Lyla        1
9348                                           Zero Boys        1
10169                        Guy Wolford - MuteHarmony -        1
5779                                     Beyond the Void        1
2233                                     The Speed Freak        1
2235                                               Рубль        1
5774                                         The Longcut        1
5765                                             Natalia        1
2270                                     Hour of Penance        1
5763                                    Five Iron Frenzy        1
5753                                             Rawtekk        1
9344                                         Holy Terror        1
9346                                         Assfactor 4        1
5742                  Serge Gainsbourg & Brigitte Bardot        1
5734                                           Onslaught        1
