,Artista,cluster
0,Diary of Dreams,-1
5456,OIH,-1
5455,Neverending White Lights,-1
5454,Joe Purdy,-1
5453,Joni Mitchell,-1
5451,Rachael Yamagata,-1
5450,Josh Rouse,-1
5449,Ocean Reid,-1
5448,Frankmusik,-1
5445,Kleerup,-1
5444,Chicks on Speed,-1
5443,Neon Neon,-1
5458,Nino Rota,-1
5442,Miss Kittin,-1
5440,The Swinging Blue Jeans,-1
5439,Lobo,-1
5438,The Archies,-1
5437,Randy & The Rainbows,-1
5436,The Merseybeats,-1
5435,Kincade,-1
5434,Dick Dale and His Del-Tones,-1
5433,Steve Gaines,-1
5432,Del Shannon,-1
5431,Charlie Daniels Band,-1
5429,Wanda Jackson,-1
5441,The Cowsills,-1
5459,Ryashon,-1
5460,Melanie Fiona,-1
5461,KOMHATA 101,-1
5505,Ricardo Montaner,-1
5504,La Ley,-1
5502,Gordian Knot,-1
5499,Karunesh,-1
5496,Chapterhouse,-1
5495,Mañana,-1
5494,Neon Indian,-1
5492,Au Revoir Simone,-1
5490,The Naked and Famous,-1
5489,The Feelies,-1
5488,Ride,-1
5487,Propellerheads,-1
5486,譚盾,-1
5485,The Mission,-1
5483,All About Eve,-1
5482,Levellers,-1
5481,Anekdoten,-1
5480,The Cooper Temple Clause,-1
5479,The Pineapple Thief,-1
5478,Mansun,-1
5476,Kimya Dawson,-1
5473,Hydria,-1
5469,Розовые очки от ferre,-1
5468,Владимир Высоцкий,-1
5463,Young Heretics,-1
5428,Herman's Hermits,-1
5427,The Association,-1
5426,Marty Stuart,-1
5425,The Lettermen,-1
5381,Every Time I Die,-1
5379,Sunny Day Real Estate,-1
5378,mewithoutYou,-1
5377,Taksim Trio,-1
5376,Bülent Ortaçgil,-1
5375,Niyaz,-1
5373,Orient Expressions,-1
5371,Beth Gibbons & Rustin Man,-1
5368,Erkan Oğur,-1
5367,Replikas,-1
5365,Great White,-1
5364,Meat Loaf,-1
5363,Lake of Tears,-1
5362,The Sunshine Underground,-1
5361,theaudience,-1
5358,m-flo,-1
5354,Do As Infinity,-1
5353,she,-1
5352,Viking Quest,-1
5349,Marcus Miller,-1
5345,Ricardo Arjona,-1
5344,Maná,-1
5343,Axel Fernando,-1
5342,EMF,-1
5341,Holdcut,-1
5382,Suis La Lune,-1
5507,Cinnamon Chasers,-1
5384,American Football,-1
5386,Still Remains,-1
5424,Pat Benatar,-1
5423,The Surfites,-1
5421,The Partridge Family,-1
5418,Badfinger,-1
5416,The Royal Guardsmen,-1
5415,The Hollies,-1
5414,Bill Haley and the Comets,-1
5413,Jan & Dean,-1
5412,Prism,-1
5409,Fila Brazillia,-1
5408,Aeon Spoke,-1
5407,Voces en el Plasma,-1
5406,Modeselektor,-1
5405,Jahcoozi,-1
5403,Joshua Radin,-1
5401,Psyched Up Janis,-1
5399,Josh Woodward,-1
5397,Tina Cousins,-1
5396,Sash!,-1
5395,Marco Borsato,-1
5394,Fu Manchu,-1
5392,Avi Buffalo,-1
5391,The Black Box Revelation,-1
5390,The Mynabirds,-1
5389,Nada Surf,-1
5385,The Bled,-1
5339,Sean Kingston,-1
5508,jj,-1
5511,No Age,-1
5625,Carry On,-1
5624,Sam & Dave,-1
5623,Screeching Weasel,-1
5622,Lemuria,-1
5619,Earth Crisis,-1
5616,Trent Reznor,-1
5614,Jonathan Davis,-1
5612,Crossbreed,-1
5611,Electric Six,-1
5610,wc olo garb,-1
5609,Motograter,-1
5626,Minor Threat,-1
5608,Dog Fashion Disco,-1
5603,Madina Lake,-1
5599,Matchbook Romance,-1
5598,The Postmarks,-1
5596,Blueboy,-1
5595,Red House Painters,-1
5594,Club 8,-1
5593,Cast of Camp Rock 2,-1
5592,Secret Garden,-1
5590,Chiara Civello,-1
5589,Cajun Dance Party,-1
5588,Charlie Parker,-1
5607,Jeckyll & Hyde,-1
5629,AaRON,-1
5633,O-HUM,-1
5634,Zooey Deschanel,-1
5675,maliétès,-1
5671,Düşbaz,-1
5669,Trio Soulaÿrès,-1
5667,Mara Aranda & Solatge,-1
5666,Ünol Büyükgönenç,-1
5664,Magda Femme & Iwona Węgrowska,-1
5663,Bimbo Boy,-1
5662,Man Meadow,-1
5661,France Gall,-1
5660,Army of Lovers,-1
5654,Filthy Dukes,-1
5652,Ou Est Le Swimming Pool,-1
5650,Anoraak,-1
5647,Kool & The Gang,-1
5646,Andy Taylor,-1
5645,Loverboy,-1
5644,Bobby Brown,-1
5643,Boyz II Men,-1
5642,Prince and the New Power Generation,-1
5641,Prince & The Revolution,-1
5640,Randy Crawford,-1
5639,Rufus,-1
5637,Melissa Manchester,-1
5636,Bobby Womack,-1
5635,Nina,-1
5587,La Sonrisa de Julia,-1
5586,Beach Fossils,-1
5585,The House of Love,-1
5584,The Coral,-1
5544,Patrycja Markowska,-1
5542,Varius Manx,-1
5540,John Lennon & Yoko Ono,-1
5539,Mercedes Sosa,-1
5538,Evan Rachel Wood,-1
5536,Frakkur,-1
5535,Massacre,-1
5534,REO Speedwagon,-1
5531,Darius Rucker,-1
5530,He Is We,-1
5528,Head,-1
5526,Times of Grace,-1
5525,Fiction Family,-1
5524,Oficina G3,-1
5523,Pleymo,-1
5522,Everlast,-1
5521,Måns Zelmerlöw,-1
5520,Glen Hansard & Markéta Irglová,-1
5519,Milla Jovovich,-1
5517,Rock Rocket,-1
5516,Martha Wainwright,-1
5515,Moptop,-1
5514,Autoramas,-1
5513,Ludov,-1
5512,Twin Shadow,-1
5545,Tina Arena,-1
5510,Teengirl Fantasy,-1
5547,Kasia Cerekwicka,-1
5549,Sourire Kabyle,-1
5583,梅林茂,-1
5579,Al Bano & Romina Power,-1
5578,Gigliola Cinquetti,-1
5577,Charlie Musselwhite,-1
5576,Commodores,-1
5575,Harry Belafonte,-1
5574,Toto Cutugno,-1
5573,Willie Dixon,-1
5570,Pat Boone,-1
5569,The Royal Philharmonic Orchestra,-1
5567,B.B. King & Eric Clapton,-1
5566,Brenda Lee,-1
5565,The Drifters,-1
5563,The Platters,-1
5562,Kitaro,-1
5561,Johnny Flynn,-1
5560,Foghat,-1
5559,Nazareth,-1
5558,Junkie XL,-1
5557,Darude,-1
5556,Dover,-1
5554,BT,-1
5553,DJ Dean,-1
5551,The BellRays,-1
5550,Les Wampas,-1
5548,Pete Vyler,-1
5679,Anita Livstrand,-1
5338,Flora,-1
5336,Ximbica,-1
5111,Pete Murray,-1
5106,Mecano,-1
5104,Fake Number,-1
5103,Esteban,-1
5101,Abril,-1
5098,Alcoholic Faith Mission,-1
5097,Twin Sister,-1
5096,The Weepies,-1
5094,Jorge Ben Jor,-1
5093,The Films,-1
5092,Mandalay,-1
5114,Charice,-1
5090,Nina Becker,-1
5088,Claudia Dorei,-1
5087,21 hertz,-1
5085,Afterlife,-1
5083,Crustation,-1
5082,Elsiane,-1
5081,Aphrodite's Child,-1
5079,Crucis,-1
5078,Solaris,-1
5077,Andromeda (60s),-1
5075,Espíritu,-1
5074,Traffic,-1
5089,Phantogram,-1
5115,Maite Perroni,-1
5117,Mike Posner,-1
5118,Billy Corgan,-1
5157,The Beloved,-1
5156,Serge Gainsbourg & Brigitte Bardot,-1
5155,Jane Birkin & Serge Gainsbourg,-1
5154,Perfect,-1
5153,Procol Harum,-1
5152,The Connells,-1
5151,Men at Work,-1
5146,John Paul Jones,-1
5145,Joe Strummer and The Mescaleros,-1
5143,El Perro del Mar,-1
5142,Marty Friedman,-1
5140,SafetySuit,-1
5139,Go:Audio,-1
5136,September Malevolence,-1
5135,Girls in Hawaii,-1
5133,Logh,-1
5131,Barcelona,-1
5130,Zoot Woman,-1
5129,Zeigeist,-1
5126,Edgar Broughton Band,-1
5125,Warren Haynes,-1
5124,Bow Wow Wow,-1
5122,Pale Saints,-1
5121,Julie London,-1
5119,Xavier Naidoo,-1
5073,O Terço,-1
5072,Dust,-1
5071,Steve Hackett,-1
5070,Bang,-1
5031,Threshold,-1
5030,Mad Ciccone,-1
5029,Tosca,-1
5028,Matthew Herbert,-1
5027,Deadbeat,-1
5025,Pole,-1
5024,Air France,-1
5021,Lawrence,-1
5020,Tunng,-1
5019,Jamie Lidell,-1
5018,Marilyn Manson & The Spooky Kids,-1
5016,Patti Page,-1
5015,Beulah,-1
5011,Tahiti 80,-1
5010,Toro y Moi,-1
5009,The Futureheads,-1
5008,The Cold Napoleons,-1
5007,I Blame Coco,-1
5005,Amanda Jenssen,-1
5003,Thomas Dybdahl,-1
5002,Beatsteaks,-1
5001,Whitey,-1
4999,Friska Viljor,-1
4998,Anna Ternheim,-1
4997,Clueso,-1
5033,Grey Daze,-1
5158,The Monkees,-1
5034,Ark,-1
5039,Semisonic,-1
5069,Sir Lord Baltimore,-1
5068,Módulo 1000,-1
5067,Casa das Máquinas,-1
5066,Manfred Mann's Earth Band,-1
5065,Eloy,-1
5064,Tower of Power,-1
5063,Sabonetes,-1
5061,Clare Maguire,-1
5059,Scouting for Girls,-1
5058,Kids In Glass Houses,-1
5057,10 Years,-1
5056,Chingy,-1
5054,Bushido,-1
5052,Third Day,-1
5051,Donny Hathaway,-1
5050,Deborah Harry,-1
5049,The Filthy Youth,-1
5048,Young Knives,-1
5047,Little Man Tate,-1
5046,Jamie T,-1
5045,Department of Eagles,-1
5044,Snowden,-1
5043,The Jacobins,-1
5041,Amber,-1
5040,Offer Nissim,-1
5038,The Almost,-1
5337,Hawk Nelson,-1
5159,Agent Orange,-1
5161,The Haunted,-1
5276,"Up, Bustle and Out",-1
5274,Oi Va Voi,-1
5273,Astor Piazzolla,-1
5271,Vermillion Lies,-1
5268,Berry Weight,-1
5266,Datarock,-1
5265,Gonjasufi,-1
5264,Alphawezen,-1
5263,Snot,-1
5262,The Dears,-1
5261,Saint Privat,-1
5280,FM Static,-1
5260,Boozoo Bajou,-1
5258,No Core,-1
5255,WC,-1
5254,Queen Latifah,-1
5253,Fugees,-1
5251,Slick Rick,-1
5249,Lil' Kim,-1
5247,Michael Jackson & Paul McCartney,-1
5243,Lady Pank,-1
5242,Bizarre,-1
5241,T-Pain,-1
5238,Justin Nozuka,-1
5259,The Dining Rooms,-1
5281,Parachute,-1
5283,Hatesphere,-1
5284,Laxative,-1
5335,Tristan Prettyman,-1
5334,Jason Walker,-1
5331,Taproot,-1
5330,Passenger,-1
5329,Mushroomhead,-1
5328,George Thorogood & The Destroyers,-1
5324,The Everly Brothers,-1
5323,John Fogerty,-1
5322,John Mellencamp,-1
5321,Tom Petty,-1
5320,Jerry Lee Lewis,-1
5315,Korea,-1
5309,Nick Cave,-1
5306,KSU,-1
5305,Vanessa Paradis,-1
5302,Antoine Dufour,-1
5298,Lydia,-1
5297,Nuclear Rabbit,-1
5295,This Day & Age,-1
5293,Kaki King,-1
5291,William Fitzsimmons,-1
5290,Donavon Frankenreiter,-1
5288,Damageplan,-1
5286,Halo Effect,-1
5285,SOiL,-1
5236,"Harry Connick, Jr.",-1
5235,Jane Monheit,-1
5234,Nordstrøm,-1
5233,Red Lorry Yellow Lorry,-1
5196,Squirrel Nut Zippers,-1
5195,Zombie Ghost Train,-1
5194,Tin Machine,-1
5193,Charlie Winston,-1
5191,The Dø,-1
5188,Le Mystère des voix Bulgares,-1
5187,Screaming Lights,-1
5186,Plumb,-1
5185,Great Northern,-1
5184,Tapping the Vein,-1
5182,Idlewild,-1
5181,Live,-1
5179,Jónsi & Alex,-1
5178,Fuck Buttons,-1
5177,Demet Akalın,-1
5176,Giusy Ferreri,-1
5174,Velvet,-1
5173,Gravity Kills,-1
5172,Petra,-1
5171,Город 312,-1
5170,Сергей Лазарев,-1
5169,Sergey Lazarev,-1
5165,Evans Blue,-1
5164,Rookie Of The Year,-1
5163,Lissy Trullie,-1
5197,Estelle,-1
5160,7th Floor,-1
5198,Moloko,-1
5201,Bobby Valentino,-1
5232,Beborn Beton,-1
5231,The Golden Filter,-1
5230,Dubstar,-1
5229,Danger,-1
5228,Townes Van Zandt,-1
5226,Keb' Mo',-1
5225,Albert King,-1
5224,Derek and the Dominos,-1
5223,Toots and the Maytals,-1
5222,Taj Mahal,-1
5221,The Meters,-1
5219,Little Feat,-1
5218,Freddie King,-1
5217,The Allman Brothers Band,-1
5214,The Derek Trucks Band,-1
5211,Patty Griffin,-1
5210,Dawn Richard,-1
5209,Auburn,-1
5208,Tha' Rayne,-1
5207,Dondria,-1
5206,Baby Bash,-1
5205,Lloyd,-1
5204,Keshia Chanté,-1
5203,Megan Rochell,-1
5202,Mashonda,-1
5199,Texas,-1
4996,Tocotronic,-1
5681,Shezar,-1
5683,Bethany Joy Lenz,-1
6141,Tear Down The Lies!,-1
6140,The Sound,-1
6139,Sonic Mayhem,-1
6137,The Tears,-1
6136,Jovanotti,-1
6134,Дима Билан,-1
6133,Finger Eleven,-1
6129,Rain Tree Crow,-1
6128,Subsonica,-1
6124,Collective Soul,-1
6123,The Four Tops,-1
6142,Electrelane,-1
