,Artista,cluster
1501,Rick James,0
8363,Marine Research,0
8362,Saturday Looks Good to Me,0
8340,Ada,0
8891,Ron Trent,0
5022,Quiet Village,0
5026,SCSI-9,0
7379,The Grapes of Wrath,0
8291,Bye Bye Bicycle,0
7386,"Kiss My Ass, Deeply",0
7388,Ian Gillan,0
6465,Tinyfolk,0
2890,Jellyfish,0
6422,Ian Hunter,0
1425,Secos & Molhados,0
3831,N.A.S.A.,0
4106,Nevea Tears,0
8225,DEPAPEPE,0
4183,Harmonia,0
8192,The Faders,0
3369,Ministério Luz,0
7442,Elizabeth & The Catapult,0
4187,Agitation Free,0
6372,Lesley Roy,0
8368,The Pastels,0
3933,Roger Glover,0
5596,Blueboy,0
2981,Fela Kuti,0
8455,Third World,0
2968,Ampop,0
7270,Heckross,0
6527,Nxzero,0
7288,OVERROCKET,0
5651,Breakbot,0
9133,NEL's,0
9131,Sunday Munich,0
6519,Bezerra Da Silva,0
5666,Ünol Büyükgönenç,0
7954,Lisa Kudrow,0
5673,Houria Aïchi & L'Hijâz'Car,0
9125,LA COCHINA,0
5677,MELIKE,0
7333,I Would Set Myself on Fire for You,0
9121,Zhong Chi,0
8878,The Prize Fighter Inferno,0
8374,Yasume,0
7344,New Shouts,0
9117,Lendi Vexer,0
3915,Lady & Bird,0
3467,Крихітка Цахес,0
8919,Amanda Lear,0
2547,Leafblade,0
5131,Barcelona,0
2549,Dornenreich,0
3860,TOKIO,0
5936,Zeraphine,0
2690,SHeDaisy,0
7793,Stiff Dylans,0
7816,Dent May,0
2686,Julianne Hough,0
7822,Mabel Matiz,0
2680,Blake Shelton,0
6071,Stare Dobre Małżeństwo,0
6050,Sin Fang Bous,0
7873,Steve Rushton,0
2662,The Immortals,0
7917,Gramophonedzie,0
7991,Steve Bug,0
1029,La Quiete,0
6030,Barrington Levy,0
6029,Burning Spear,0
6028,Israel Vibration,0
7744,Валентин Стрыкало,0
7690,Пляж,0
9002,Life Without Buildings,0
1219,Gloriana,0
4392,Runaways,0
2380,Megh Stock,0
6331,Mustard Plug,0
2385,Dennis Brown,0
4389,Beauti,0
2388,Eek-A-Mouse,0
6314,Úztari,0
7492,Cosma,0
6303,Nathan Fake,0
5825,Seals & Crofts,0
1583,Pomegranates,0
7554,Katy B,0
2785,Gretchen Wilson,0
4580,.crrust,0
7578,Pencey Prep,0
3904,The Aggrolites,0
6249,Eternal Summers,0
7588,Efek Rumah Kaca,0
6226,Joe Jonas,0
935,Tenhi,0
7613,Funeral Diner,0
2504,Fat Jon,0
6267,Novos Baianos,0
4520,Dogs Die in Hot Cars,0
4172,Cluster,0
8468,Love Bites,0
5390,The Mynabirds,0
3288,Leon Jackson,0
4820,Rosey,0
8666,Gantz,0
1996,Graham Bonnet,0
4833,Âme,0
4834,Yves Larock,0
6739,Tennis,0
8665,Mesa Verde,0
6729,Clube da Esquina,0
6721,Bishop Allen,0
5414,Bill Haley and the Comets,0
5426,Marty Stuart,0
6997,Audrey,0
6711,Luke Pickett,0
1741,Christian Kleine,0
8646,Hexstatic,0
2066,Finley,0
6679,Mt Eden,0
5431,Charlie Daniels Band,0
6678,Dance Party Hazard,0
4910,Stephanie McIntosh,0
4765,Michael Stearns,0
5382,Suis La Lune,0
527,Banghra,0
5268,Berry Weight,0
4288,Ugly Duckling,0
8785,Zeplin,0
6872,The Oak Ridge Boys,0
8778,Phoenix Bodies,0
1912,Little Big Town,0
5318,Making April,0
1915,Phil Vassar,0
8777,Rocky Votolato,0
8776,The Ex,0
4273,Freelance Whales,0
8774,Hashisheen,0
9265,Idir,0
9264,Ahmet Aslan,0
5333,Tommy Emmanuel,0
6926,Spider,0
1832,Düş Sokağı Sakinleri,0
8741,Quack Quack,0
3213,Glejs,0
4449,PlayRadioPlay!,0
4447,Holiday Parade,0
4147,Scracho,0
3280,Gram Parsons,0
8711,Michael Paynter,0
3192,Rebecca St. James,0
8696,Isis Mariana,0
3302,Maria Peszek,0
4437,Rediscover,0
5498,This Romantic Tragedy,0
4752,Gomez,0
3102,Линия,0
9150,Nedry,0
6600,Jega,0
3101,Мои Любимые Игры,0
5495,Mañana,0
6658,Samantha Newark,0
6599,Boom Bip,0
3041,Anneke van Giersbergen,0
2097,Sabrepulse,0
6654,Eberg,0
3095,The New Law,0
8492,Розовые Очки От Ferre,0
640,Jackson and His Computer Band,0
3955,Marina,0
4032,Hive,0
4025,Bunny Wailer,0
5540,John Lennon & Yoko Ono,0
8528,Yppah,0
7200,Pure Saturday,0
4920,Caustic Window,0
3012,Acid House Kings,0
5484,Gothacoustic Ensemble,0
9183,Bob Welch,0
7190,Sagi-Rei,0
96,Lukid,0
4306,Magtens Korridorer,1
1891,Dan Deacon,1
7978,The Busters,1
3239,Chiclete Com Banana,1
688,Eluveitie,1
2731,Panda Bear,1
5561,Johnny Flynn,1
5892,Vama Veche,1
5928,Skarface,1
8426,ТонкаяКраснаяНить,1
8017,Armia,1
667,Dark Tranquillity,1
5957,Kool Savas,1
2965,Penguin Prison,1
8421,Mari! Mari!,1
8748,Ode à l'Acadie,1
3345,Evergrey,1
5955,Pyranja,1
8078,Through the Eyes of the Dead,1
4359,Legion of the Damned,1
3224,Us5,1
719,Closterkeller,1
430,Lacrimosa,1
8286,"Loney, dear",1
8934,Silence Dead,1
4300,Tina Dickow,1
3001,The Flatliners,1
2818,Tides From Nebula,1
8182,Mother Mother,1
8222,Thompson,1
8583,The Parlotones,1
293,Silbermond,1
8317,Analogik,1
8229,Oddział Zamknięty,1
5747,Kylesa,1
8905,Charme Chulo,1
3124,Deicide,1
3133,Cathedral,1
3154,Babylonia,1
4343,Multipass,1
8319,Mikael Simpson,1
5508,jj,1
4254,Найк Борзов,1
4341,Kambodge,1
8530,Punk TV,1
8108,Kissogram,1
2891,Skindred,1
2774,Pat McGee Band,1
8676,Ron Sexsmith,1
4295,Little Dragon,1
5840,High on Fire,1
5398,Ibens,1
8923,Violens,1
317,雅-MIYAVI-,1
2811,Septic Flesh,1
8351,Eddie Izzard,1
5400,Red Warszawa,1
5810,Clay Aiken,1
774,Dr. Sin,1
781,Mindflow,1
8075,Defeater,1
5284,Laxative,1
2254,Destrophy,1
7009,Ducktails,1
2038,Pierce the Veil,1
3539,Тихий Джа,1
6482,Łąki Łan,1
7367,Women,1
7369,Papercuts,1
5017,The Creepshow,1
6718,Bomb the Music Industry!,1
1716,Benjamin Biolay,1
6738,Gang Gang Dance,1
5032,Эпидемия,1
3504,Jelonek,1
3675,Chickenhawk,1
6449,Jarboe,1
4566,Deathchain,1
9069,Aura,1
3490,Сурганова и Оркестр,1
9229,Manacá,1
9088,Stian Westerhus,1
135,Paradise Lost,1
6487,David Garrett,1
2268,Hypocrisy,1
7197,Stephen Malkmus and the Jicks,1
4981,Macaco,1
9146,Prāta vētra,1
7216,AJ McLean,1
2194,Emarosa,1
2136,Vader,1
7160,Algernon Cadwallader,1
4027,Emeralds,1
3608,Ze Smetana,1
1558,Charon,1
7243,Hothouse Flowers,1
