,Artista,cluster
8505,Bob Wills & His Texas Playboys,0
7588,Efek Rumah Kaca,0
7344,New Shouts,0
9117,Lendi Vexer,0
6050,Sin Fang Bous,0
9125,LA COCHINA,0
7613,Funeral Diner,0
8374,Yasume,0
8371,Echolyn,0
5596,Blueboy,0
4752,Gomez,0
8368,The Pastels,0
7333,I Would Set Myself on Fire for You,0
8363,Marine Research,0
8362,Saturday Looks Good to Me,0
6527,Nxzero,0
5610,wc olo garb,0
7378,Smak,0
4702,Le Orme,0
7323,Austin Drage,0
8414,Iron Claw,0
9107,Sonya Kitchell,0
4820,Rosey,0
8431,White Willow,0
1105,Les Anges De La Nuit,0
8547,Paatos,0
6422,Ian Hunter,0
2822,Celeste,0
8506,Big Sandy & His Fly-Rite Boys,0
5564,Luther Allison,0
8504,Tex Williams,0
4916,Jane,0
8492,Розовые Очки От Ferre,0
2690,SHeDaisy,0
4910,Stephanie McIntosh,0
5571,Fats Domino,0
8468,Love Bites,0
5572,"Clarence ""Gatemouth"" Brown",0
3676,Rick Wright,0
7544,Liz Callaway,0
2785,Gretchen Wilson,0
2783,Big & Rich,0
8452,Eric Johnson,0
8450,Dixie Dregs,0
1219,Gloriana,0
4955,Alphonso S'Entrega,0
4697,King's X,0
2685,Jake Owen,0
4572,Scharpling & Wurster,0
1583,Pomegranates,0
4570,The Nation of Ulysses,0
7658,PeeWee,0
8213,Rivets,0
1629,Shadow Gallery,0
4554,Phil Judd,0
4549,Stimulator,0
3790,João Bosco,0
8198,Land of the Loops,0
5695,Iron Lung,0
1663,Alessandro Safina,0
8193,Brainiac,0
4520,Dogs Die in Hot Cars,0
8192,The Faders,0
6618,Quicksand,0
4511,Savoy,0
7212,Lara Price Band,0
3397,Rush of Fools,0
7208,Bill Perry,0
4580,.crrust,0
7012,Jimmy Reed,0
7207,Dr. Wu',0
2684,Joe Nichols,0
2683,Billy Currington,0
9131,Sunday Munich,0
2681,Gary Allan,0
6026,Soldiers of Jah Army,0
2680,Blake Shelton,0
2679,Jason Aldean,0
7317,Steelheart,0
8305,Gemelli Diversi,0
2686,Julianne Hough,0
7028,Robin Trower,0
7200,Pure Saturday,0
8267,Paul Kelly,0
7017,Fishbone,0
6015,Bravo,0
7015,Magic Sam,0
1555,See-Saw,0
7014,Lowell Fulson,0
7013,Otis Rush,0
7206,Danny Bryant's RedEyeBand,0
8291,Bye Bye Bicycle,0
4471,Blood Axis,0
5540,John Lennon & Yoko Ono,0
4982,Rain,0
8977,Betty Boo,0
6131,David Sylvian & Robert Fripp,0
3545,Vinnie Vincent Invasion,0
2999,Trumans Water,0
5268,Berry Weight,0
7442,Elizabeth & The Catapult,0
6249,Eternal Summers,0
8990,Images in Vogue,0
8803,The Silencers,0
8799,Guy Wolford - MuteHarmony -,0
8992,The Diodes,0
5227,Little Walter,0
8788,Chicken Shack,0
8785,Zeplin,0
5220,Hound Dog Taylor & the House Rockers,0
8778,Phoenix Bodies,0
8776,The Ex,0
5216,Susan Tedeschi,0
9002,Life Without Buildings,0
6226,Joe Jonas,0
3012,Acid House Kings,0
8888,Kevin Yost,0
5431,Charlie Daniels Band,0
565,Mitchel Musso,0
8956,Esplendor Geométrico,0
5390,The Mynabirds,0
7387,Zbynda Slepička,0
6166,Ce Ce Peniston,0
5414,Bill Haley and the Comets,0
5382,Suis La Lune,0
3095,The New Law,0
7391,The Gourishankar,0
8759,Habib Koité,0
7392,Enchant,0
590,Wim Mertens,0
527,Banghra,0
7403,Simon Le Bon,0
7404,Glass Tiger,0
7152,Kani Karaca,0
7142,Chrishan,0
5348,Bumblefoot,0
3026,Flash and the Pan,0
8891,Ron Trent,0
7394,The Jelly Jam,0
9071,The Hot Toddies,0
2968,Ampop,0
6279,The Flower Kings,0
8652,Secret Frequency Crew,0
5079,Crucis,0
2899,Joy Salinas,0
8646,Hexstatic,0
5076,Premiata Forneria Marconi,0
948,Los Jaivas,0
5075,Espíritu,0
8639,98 Degrees,0
5067,Casa das Máquinas,0
960,Neal Morse,0
2890,Jellyfish,0
6372,Lesley Roy,0
983,Quidam,0
6381,The Cadillacs,0
5012,Wouter Hamel,0
1029,La Quiete,0
5006,E.M.D.,0
8571,ABC News,0
7057,Ragheb Alama,0
5080,Aera,0
7496,Frank the Baptist,0
7176,Cazwell,0
7494,Martial Canterel,0
6281,Arena,0
3467,Крихітка Цахес,0
7458,Lightnin' Hopkins,0
7459,The Paul Butterfield Blues Band,0
7461,John Mayall,0
8719,CODE NAME: K1LL,0
8711,Michael Paynter,0
6314,Úztari,0
6331,Mustard Plug,0
821,Tilly and the Wall,0
5131,Barcelona,0
2924,Paps 'N' Skar,0
2919,DJ Ötzi,0
5109,Mijares,0
8677,Chico César,0
8674,Peter Criss,0
7078,Richard Walters,0
8666,Gantz,0
5495,Mañana,0
8665,Mesa Verde,0
7087,Bounty Killer,0
4469,Dorival Caymmi,0
4704,Sylvan,0
6671,Amplifier,0
2163,ZE:A,0
8052,Quella Vecchia Locanda,0
6920,Johnny Winter,0
6976,Combatwoundedveteran,0
1996,Graham Bonnet,0
8054,Museo Rosenbach,0
6919,Tampa Red,0
9249,Blues Rhythm Section,0
4358,Victor & Leo,0
8058,Samla Mammas Manna,0
8059,Campo di Marte,0
8049,Metamorfosi,0
7724,Yezda Urfa,0
7896,"Kitty, Daisy & Lewis",0
1848,Highway,0
4389,Beauti,0
6739,Tennis,0
7782,Dave Sadler,0
4273,Freelance Whales,0
6721,Bishop Allen,0
3288,Leon Jackson,0
5969,Milton Nascimento,0
2212,Ace Moreland,0
9257,Josh Gracin,0
8061,Panna Fredda,0
2531,Vander Lee,0
6817,Biglietto per l'Inferno,0
6954,Lisa Germano,0
1923,Lonestar,0
2453,Fish,0
1919,Tim McGraw,0
3353,Green Carnation,0
9214,Tides of Man,0
3904,The Aggrolites,0
3905,Eric Church,0
7265,Phil Wickham,0
1916,Jo Dee Messina,0
6942,James Cotton,0
1915,Phil Vassar,0
3933,Roger Glover,0
2066,Finley,0
3860,TOKIO,0
3915,Lady & Bird,0
6707,Mase,0
3302,Maria Peszek,0
6965,Robert Fripp,0
2504,Fat Jon,0
8036,Jumbo,0
7761,Josh White,0
6974,Pg.99,0
1931,Alan Jackson,0
4147,Scracho,0
1912,Little Big Town,0
5865,Collin Raye,0
7734,Blind Blake,0
2556,Gazpacho,0
6905,Elektryczne Gitary,0
7707,A.C.T,0
7858,Chris Squire,0
6877,John Michael Montgomery,0
6654,Eberg,0
2213,Dennis Gruenling,0
2301,T-Bone Walker,0
6873,Sammy Kershaw,0
